Temperature (T),v_region_1
280.0,2.8212265590354946e-06
280.45112781954884,2.8217854151080246e-06
280.90225563909775,2.822341414798757e-06
281.3533834586466,2.822897414489489e-06
281.8045112781955,2.8234533999693667e-06
282.25563909774434,2.8240094138709537e-06
282.70676691729324,2.8245653993508313e-06
283.1578947368421,2.825121384830709e-06
283.609022556391,2.825677398732296e-06
284.0601503759398,2.826233398423028e-06
284.5112781954887,2.8267893839029057e-06
284.9624060150376,2.827345383593638e-06
285.4135338345865,2.8279013832843702e-06
285.8646616541353,2.8284573829751025e-06
286.3157894736842,2.829013382665835e-06
286.76691729323306,2.829569382356567e-06
287.21804511278197,2.8301253678364446e-06
287.6691729323308,2.830681367527177e-06
288.1203007518797,2.831237367217909e-06
288.57142857142856,2.8317933669086415e-06
289.02255639097746,2.8323493665993738e-06
289.4736842105263,2.8329053520792513e-06
289.9248120300752,2.8334613659808383e-06
290.37593984962405,2.834017351460716e-06
290.82706766917295,2.8345733369405934e-06
291.2781954887218,2.8351293508421804e-06
291.7293233082707,2.8356853505329127e-06
292.18045112781954,2.8362413360127903e-06
292.63157894736844,2.8367973357035225e-06
293.0827067669173,2.8373533496051095e-06
293.5338345864662,2.837909335084987e-06
293.98496240601503,2.8384653347757194e-06
294.43609022556393,2.8390213344664517e-06
294.8872180451128,2.8395773199463292e-06
295.3383458646617,2.8401333196370615e-06
295.7894736842105,2.8406893193277938e-06
296.2406015037594,2.8412453048076713e-06
296.69172932330827,2.8418013187092583e-06
297.14285714285717,2.8423573183999906e-06
297.593984962406,2.842913318090723e-06
298.0451127819549,2.8434693035706005e-06
298.49624060150376,2.8440253174721875e-06
298.9473684210526,2.844581302952065e-06
299.3984962406015,2.8451373026427973e-06
299.8496240601504,2.8456933023335296e-06
300.30075187969925,2.846249287813407e-06
300.7518796992481,2.846805301714994e-06
301.203007518797,2.8473612871948717e-06
301.65413533834584,2.847917286885604e-06
302.10526315789474,2.8484732865763362e-06
302.5563909774436,2.849029272056214e-06
303.0075187969925,2.849585285957801e-06
303.45864661654133,2.850141285648533e-06
303.90977443609023,2.8506972853392654e-06
304.3609022556391,2.851253270819143e-06
304.812030075188,2.851809270509875e-06
305.2631578947368,2.8523652702006075e-06
305.7142857142857,2.852921255680485e-06
306.16541353383457,2.853477269582072e-06
306.61654135338347,2.8540332550619496e-06
307.0676691729323,2.8545892689635366e-06
307.5187969924812,2.855145254443414e-06
307.96992481203006,2.8557012541341464e-06
308.42105263157896,2.8562572538248787e-06
308.8721804511278,2.856813253515611e-06
309.3233082706767,2.8573692532063433e-06
309.77443609022555,2.857925238686221e-06
310.22556390977445,2.858481252587808e-06
310.6766917293233,2.8590372380676854e-06
311.1278195488722,2.859593223547563e-06
311.57894736842104,2.86014923744915e-06
312.03007518796994,2.8607052229290275e-06
312.4812030075188,2.86126122261976e-06
312.9323308270677,2.861817222310492e-06
313.38345864661653,2.862373236212079e-06
313.83458646616543,2.8629292216919566e-06
314.2857142857143,2.863485221382689e-06
314.7368421052632,2.864041221073421e-06
315.187969924812,2.8645972065532987e-06
315.6390977443609,2.865153206244031e-06
316.09022556390977,2.8657092059347633e-06
316.5413533834586,2.866265191414641e-06
316.9924812030075,2.866821205316228e-06
317.4436090225564,2.8673771907961054e-06
317.89473684210526,2.8679331904868377e-06
318.3458646616541,2.86848919017757e-06
318.796992481203,2.869045204079157e-06
319.2481203007519,2.8696011895590345e-06
319.69924812030075,2.870157175038912e-06
320.1503759398496,2.8707131747296444e-06
320.6015037593985,2.8712691744203767e-06
321.05263157894734,2.8718251883219637e-06
321.50375939849624,2.8723811738018412e-06
321.9548872180451,2.8729371592817188e-06
322.406015037594,2.8734931731833058e-06
322.85714285714283,2.8740491586631833e-06
323.30827067669173,2.8746051725647703e-06
323.7593984962406,2.875161158044648e-06
324.2105263157895,2.875717171946235e-06
324.6616541353383,2.8762731574261124e-06
325.1127819548872,2.87682914290599e-06
325.56390977443607,2.877385156807577e-06
326.01503759398497,2.8779411422874546e-06
326.4661654135338,2.878497141978187e-06
326.9172932330827,2.879053141668919e-06
327.36842105263156,2.8796091413596514e-06
327.81954887218046,2.8801651410503837e-06
328.2706766917293,2.880721140741116e-06
328.7218045112782,2.8812771262209935e-06
329.17293233082705,2.881833125911726e-06
329.62406015037595,2.882389125602458e-06
330.0751879699248,2.8829451252931904e-06
330.5263157894737,2.883501110773068e-06
330.97744360902254,2.884057124674655e-06
331.42857142857144,2.8846131101545325e-06
331.8796992481203,2.8851691240561195e-06
332.3308270676692,2.885725109535997e-06
332.78195488721803,2.8862811092267293e-06
333.23308270676694,2.8868371089174616e-06
333.6842105263158,2.887393094397339e-06
334.1353383458647,2.887949108298926e-06
334.5864661654135,2.8885050937788037e-06
335.0375939849624,2.889061093469536e-06
335.4887218045113,2.8896170931602683e-06
335.9398496240601,2.890173078640146e-06
336.390977443609,2.890729092541733e-06
336.8421052631579,2.8912850780216104e-06
337.29323308270676,2.8918410777123427e-06
337.7443609022556,2.892397077403075e-06
338.1954887218045,2.892953091304662e-06
338.6466165413534,2.8935090767845395e-06
339.09774436090225,2.894065062264417e-06
339.5488721804511,2.894621076166004e-06
340.0,2.8951770616458816e-06
340.45112781954884,2.895733061336614e-06
340.90225563909775,2.896289061027346e-06
341.3533834586466,2.8968450607180785e-06
341.8045112781955,2.8974010604088107e-06
342.25563909774434,2.8979570458886883e-06
342.70676691729324,2.8985130597902753e-06
343.1578947368421,2.899069045270153e-06
343.609022556391,2.899625044960885e-06
344.0601503759398,2.9001810446516174e-06
344.5112781954887,2.900737030131495e-06
344.9624060150376,2.901293044033082e-06
345.4135338345865,2.9018490295129595e-06
345.8646616541353,2.902405029203692e-06
346.3157894736842,2.902961028894424e-06
346.76691729323306,2.9035170143743017e-06
347.21804511278197,2.9040730282758886e-06
347.6691729323308,2.904629013755766e-06
348.1203007518797,2.905185027657353e-06
348.57142857142856,2.9057410131372308e-06
349.02255639097746,2.906297012827963e-06
349.4736842105263,2.9068529983078406e-06
349.9248120300752,2.907408997998573e-06
350.37593984962405,2.90796501190016e-06
350.82706766917295,2.9085209973800374e-06
351.2781954887218,2.9090769970707697e-06
351.7293233082707,2.909632996761502e-06
352.18045112781954,2.9101889822413796e-06
352.63157894736844,2.9107449961429666e-06
353.0827067669173,2.911300981622844e-06
353.5338345864661,2.9118569813135764e-06
353.98496240601503,2.9124129810043087e-06
354.43609022556393,2.912968980695041e-06
354.8872180451128,2.9135249803857732e-06
355.3383458646616,2.914080965865651e-06
