Temperature (T),v_region_1,v_region_2,v_region_3,v_region_4,v_region_5,v_region_6,v_region_7
280.0,2.4716347990505483e-07,,,,,,
280.45112781954884,2.47245371731708e-07,,,,,,
280.90225563909775,2.473099498523368e-07,,,,,,
281.3533834586466,2.4737452797296555e-07,,,,,,
281.8045112781955,2.4743910653768353e-07,,,,,,
282.25563909774434,2.475036846583123e-07,,,,,,
282.70676691729324,2.4756826277894106e-07,,,,,,
283.1578947368421,2.4763284134365904e-07,,,,,,
283.609022556391,2.47697419908377e-07,,,,,,
284.0601503759398,2.477619980290058e-07,,,,,,
284.5112781954887,2.4782657659372376e-07,,,,,,
284.9624060150376,2.4789115515844173e-07,,,,,,
285.4135338345865,2.479557332790705e-07,,,,,,
285.8646616541353,2.480203118437885e-07,,,,,,
286.3157894736842,2.4808489040850645e-07,,,,,,
286.76691729323306,2.481494685291352e-07,,,,,,
287.21804511278197,2.48214046649764e-07,,,,,,
287.6691729323308,2.4827862521448196e-07,,,,,,
288.1203007518797,2.4834320377919994e-07,,,,,,
288.57142857142856,2.484077818998287e-07,,,,,,
289.02255639097746,2.4847236002045747e-07,,,,,,
289.4736842105263,2.4853693858517545e-07,,,,,,
289.9248120300752,2.486015167058042e-07,,,,,,
290.37593984962405,2.486660952705222e-07,,,,,,
290.82706766917295,2.4873067339115096e-07,,,,,,
291.2781954887218,2.4879525195586893e-07,,,,,,
291.7293233082707,2.488598305205869e-07,,,,,,
292.18045112781954,2.489244090853049e-07,,,,,,
292.63157894736844,2.4898898720593365e-07,,,,,,
293.0827067669173,2.490535653265624e-07,,,,,,
293.5338345864662,2.491181438912804e-07,,,,,,
293.98496240601503,2.4918272245599837e-07,,,,,,
294.43609022556393,2.4924730057662714e-07,,,,,,
294.8872180451128,2.493118786972559e-07,,,,,,
295.3383458646617,2.493764577060631e-07,,,,,,
295.7894736842105,2.4944103582669186e-07,,,,,,
296.2406015037594,2.4950561439140984e-07,,,,,,
296.69172932330827,2.495701929561278e-07,,,,,,
297.14285714285717,2.496347710767566e-07,,,,,,
297.593984962406,2.4969934919738535e-07,,,,,,
298.0451127819549,2.497639277621033e-07,,,,,,
298.49624060150376,2.498285063268213e-07,,,,,,
298.9473684210526,2.4989308444745006e-07,,,,,,
299.3984962406015,2.4995766256807883e-07,,,,,,
299.8496240601504,2.500222411327968e-07,,,,,,
300.30075187969925,2.500868196975148e-07,,,,,,
300.7518796992481,2.5015139781814355e-07,,,,,,
301.203007518797,2.502159759387723e-07,,,,,,
301.65413533834584,2.502805545034903e-07,,,,,,
302.10526315789474,2.503451330682082e-07,,,,,,
302.5563909774436,2.5040971163292143e-07,,,,,,
303.0075187969925,2.5047432217162735e-07,,,,,,
303.45864661654133,2.505425622122555e-07,,,,,,
303.90977443609023,2.5100903390091516e-07,,,,,,
304.3609022556391,2.9389955841450647e-07,,,,,,
304.812030075188,4.75961341265625e-06,,,,,,
305.2631578947368,0.0004531043628082501,0.00044394004515548437,,,,,
305.7142857142857,0.011724411447327387,0.012743119453081597,,,,,
306.16541353383457,0.000555155058130483,0.0006507549227906585,,,,,
306.61654135338347,,7.529753860253135e-06,,,,,
307.0676691729323,,8.464021510244182e-07,,,,,
307.5187969924812,,9.523804788264914e-07,,,,,
307.96992481203006,,9.549636848654175e-07,,,,,
308.42105263157896,,9.562735243645447e-07,,,,,
308.8721804511278,,9.575678632245215e-07,,,,,
309.3233082706767,,9.5886201378903e-07,,,,,
309.77443609022555,,9.601561625771637e-07,,,,,
310.22556390977445,,9.614503113652972e-07,,,,,
310.6766917293233,,9.627444619297876e-07,,,,,
311.1278195488722,,9.64038610717921e-07,,,,,
311.57894736842104,,9.653327595060546e-07,,,,,
312.03007518796994,,9.666269065178312e-07,,,,,
312.4812030075188,,9.679210570823216e-07,,,,,
312.9323308270677,,9.69215207646812e-07,,,,,
313.38345864661653,,9.705093564349454e-07,,,,,
313.83458646616543,,9.71803505223079e-07,,,,,
314.2857142857143,,9.730976540112124e-07,,,,,
314.7368421052632,,9.74391802799346e-07,,,,,
315.187969924812,,9.756859515874794e-07,,,,,
315.6390977443609,,9.769801003756129e-07,,,,,
316.09022556390977,,9.782742491637464e-07,,,,,
316.5413533834586,,9.795683979518799e-07,,,,,
316.9924812030075,,9.808625467400134e-07,,,,,
317.4436090225564,,9.821566973045037e-07,,,,,
317.89473684210526,,9.834508460926372e-07,,,,,
318.3458646616541,,9.847449966571276e-07,,,,,
318.796992481203,,9.86039145445261e-07,,,,,
319.2481203007519,,9.873332942333946e-07,,,,,
319.69924812030075,,9.88627443021528e-07,,,,,
320.1503759398496,,9.899215918096615e-07,,,,,
320.6015037593985,,9.91215740597795e-07,,,,,
321.05263157894734,,9.925098893859285e-07,,,,,
321.50375939849624,,9.93804038174062e-07,,,,,
321.9548872180451,,9.950981869621955e-07,,,,,
322.406015037594,,9.963923375266859e-07,,,,,
322.85714285714283,,9.976864863148194e-07,,,,,
323.30827067669173,,9.989806351029529e-07,,,,,
323.7593984962406,,1.0002747856674432e-06,,,,,
324.2105263157895,,1.0015689344555767e-06,,,,,
324.6616541353383,,1.0028630832437102e-06,,,,,
325.1127819548872,,1.0041572320318437e-06,,,,,
325.56390977443607,,1.0054513808199772e-06,,,,,
326.01503759398497,,1.0067455296081107e-06,,,,,
326.4661654135338,,1.0080396783962442e-06,,,,,
326.9172932330827,,1.0093338271843777e-06,,,,,
327.36842105263156,,1.010627977748868e-06,,,,,
327.81954887218046,,1.0119221265370013e-06,,,,,
328.2706766917293,,1.0132162753251155e-06,,,,,
328.7218045112782,,1.0145105306928967e-06,,,,,
