Temperature (T),v_region_1,v_region_2,v_region_3,v_region_4,v_region_5,v_region_6,v_region_7,v_region_8,v_region_9
280.0,1.2330009058203473e-07,,,,,,,,
280.45112781954884,1.233777662257296e-07,,,,,,,,
280.90225563909775,1.2345544164737987e-07,,,,,,,,
281.3533834586466,1.2353311706903014e-07,,,,,,,,
281.8045112781955,1.236107922686358e-07,,,,,,,,
282.25563909774434,1.2368846746824147e-07,,,,,,,,
282.70676691729324,1.2376614288989174e-07,,,,,,,,
283.1578947368421,1.23843818311542e-07,,,,,,,,
283.609022556391,1.2392149395523688e-07,,,,,,,,
284.0601503759398,1.2399916915484255e-07,,,,,,,,
284.5112781954887,1.240768443544482e-07,,,,,,,,
284.9624060150376,1.241545199981431e-07,,,,,,,,
285.4135338345865,1.2423219519774875e-07,,,,,,,,
285.8646616541353,1.2430987084144363e-07,,,,,,,,
286.3157894736842,1.243875460410493e-07,,,,,,,,
286.76691729323306,1.2446522146269956e-07,,,,,,,,
287.21804511278197,1.2454289688434983e-07,,,,,,,,
287.6691729323308,1.246205720839555e-07,,,,,,,,
288.1203007518797,1.2469824772765037e-07,,,,,,,,
288.57142857142856,1.2477592292725603e-07,,,,,,,,
289.02255639097746,1.248535985709509e-07,,,,,,,,
289.4736842105263,1.2493127377055657e-07,,,,,,,,
289.9248120300752,1.2500894941425145e-07,,,,,,,,
290.37593984962405,1.250866246138571e-07,,,,,,,,
290.82706766917295,1.2516430025755199e-07,,,,,,,,
291.2781954887218,1.2524197567920226e-07,,,,,,,,
291.7293233082707,1.2531965110085252e-07,,,,,,,,
292.18045112781954,1.253973263004582e-07,,,,,,,,
292.63157894736844,1.2547500150006385e-07,,,,,,,,
293.0827067669173,1.2555267714375873e-07,,,,,,,,
293.5338345864662,1.256303523433644e-07,,,,,,,,
293.98496240601503,1.2570802754297006e-07,,,,,,,,
294.43609022556393,1.2578570318666493e-07,,,,,,,,
294.8872180451128,1.258633786083152e-07,,,,,,,,
295.3383458646617,1.2594105380792087e-07,,,,,,,,
295.7894736842105,1.2601872922957114e-07,,,,,,,,
296.2406015037594,1.260964044291768e-07,,,,,,,,
296.69172932330827,1.2617408007287112e-07,,,,,,,,
297.14285714285717,1.2625176837305974e-07,,,,,,,,
297.593984962406,1.2633042478333313e-07,,,,,,,,
298.0451127819549,1.2648241435466437e-07,,,,,,,,
298.49624060150376,1.31958630891919e-07,,,,,,,,
298.9473684210526,4.990494192824254e-07,,,,,,,,
299.3984962406015,2.2475078953001798e-05,4.91590063645643e-05,,,,,,,
299.8496240601504,0.0006706051753594368,0.0020641695377967865,,,,,,,
300.30075187969925,8.285550215413847e-06,0.0003369321826369276,,,,,,,
300.7518796992481,,3.310609062272456e-07,,,,,,,
301.203007518797,,3.278137019152427e-07,,,,,,,
301.65413533834584,,2.9777218916694125e-07,,,,,,,
302.10526315789474,,2.97234854293342e-07,,,,,,,
302.5563909774436,,2.9742890550230947e-07,,,,,,,
303.0075187969925,,2.9763546383063303e-07,,,,,,,
303.45864661654133,,2.978422095623043e-07,,,,,,,
303.90977443609023,,2.980489570703071e-07,,,,,,,
304.3609022556391,,2.9825570546648805e-07,,,,,,,
304.812030075188,,2.984624529744906e-07,,,,,,,
305.2631578947368,,2.986692004824931e-07,,,,,,,
305.7142857142857,,2.988759488786741e-07,,,,,,,
306.16541353383457,,2.990826963866766e-07,,,,,,,
306.61654135338347,,2.9928944478285757e-07,,,,,,,
307.0676691729323,,2.994961922908601e-07,,,,,,,
307.5187969924812,,2.9970294068704106e-07,,,,,,,
307.96992481203006,,2.999096873068652e-07,,,,,,,
308.42105263157896,,3.0011643570304614e-07,,,,,,,
308.8721804511278,,3.0032318321104867e-07,,,,,,,
309.3233082706767,,3.0052993160722963e-07,,,,,,,
309.77443609022555,,3.0073667911523216e-07,,,,,,,
310.22556390977445,,3.009434275114131e-07,,,,,,,
310.6766917293233,,3.011501759075941e-07,,,,,,,
311.1278195488722,,3.013569225274182e-07,,,,,,,
311.57894736842104,,3.0156367092359915e-07,,,,,,,
312.03007518796994,,3.017704184316017e-07,,,,,,,
312.4812030075188,,3.0197716682778264e-07,,,,,,,
312.9323308270677,,3.021839143357852e-07,,,,,,,
313.38345864661653,,3.0239066273196613e-07,,,,,,,
313.83458646616543,,3.0259741023996867e-07,,,,,,,
314.2857142857143,,3.028041577479712e-07,,,,,,,
314.7368421052632,,3.0301090614415216e-07,,,,,,,
315.187969924812,,3.032176536521547e-07,,,,,,,
315.6390977443609,,3.0342440116015723e-07,,,,,,,
316.09022556390977,,3.036311495563382e-07,,,,,,,
316.5413533834586,,3.03837896176162e-07,,,,,,,
316.9924812030075,,3.040446392432463e-07,,,,,,,
317.4436090225564,,3.0425088492806395e-07,,,,,,,
317.89473684210526,,3.04412602461782e-07,,,,,,,
318.3458646616541,,3.0057737440051414e-07,,,,,,,
318.796992481203,,6.194104713707642e-08,,,,,,,
319.2481203007519,,3.257081812055055e-05,,,,,,,
319.69924812030075,,0.0026804748064061064,0.01246008562100144,,,,,,
320.1503759398496,,0.008757098007115523,0.041530199776128,,,,,,
320.6015037593985,,0.0001408500481748946,0.0006807118031180469,,,,,,
321.05263157894734,,,6.555812327883596e-06,,,,,,
321.50375939849624,,,9.254367503656305e-07,,,,,,
321.9548872180451,,,1.009914037126924e-06,,,,,,
322.406015037594,,,1.01272534354943e-06,,,,,,
322.85714285714283,,,1.0146350675195794e-06,,,,,,
323.30827067669173,,,1.0165348403035026e-06,,,,,,
323.7593984962406,,,1.0184345011765572e-06,,,,,,
324.2105263157895,,,1.020334158496894e-06,,,,,,
324.6616541353383,,,1.0222338193699443e-06,,,,,,
325.1127819548872,,,1.0241334802429947e-06,,,,,,
325.56390977443607,,,1.0260331393396882e-06,,,,,,
326.01503759398497,,,1.0279328002127386e-06,,,,,,
326.4661654135338,,,1.0298324593094321e-06,,,,,,
326.9172932330827,,,1.0317321201824825e-06,,,,,,
327.36842105263156,,,1.033631779279176e-06,,,,,,
327.81954887218046,,,1.0355314401522264e-06,,,,,,
328.2706766917293,,,1.03743109924892e-06,,,,,,
328.7218045112782,,,1.0393307601219703e-06,,,,,,
329.17293233082705,,,1.0412304192186639e-06,,,,,,
329.62406015037595,,,1.0431300800917143e-06,,,,,,
330.0751879699248,,,1.0450297391884078e-06,,,,,,
330.5263157894737,,,1.0469294000614582e-06,,,,,,
330.97744360902254,,,1.0488290591581517e-06,,,,,,
331.42857142857144,,,1.0507287182548453e-06,,,,,,
331.8796992481203,,,1.0526283791278956e-06,,,,,,
332.3308270676692,,,1.054528040000946e-06,,,,,,
332.78195488721803,,,1.0564276973212827e-06,,,,,,
333.23308270676694,,,1.058327358194333e-06,,,,,,
333.6842105263158,,,1.0602270190673835e-06,,,,,,
334.1353383458647,,,1.0621266799404339e-06,,,,,,
334.5864661654135,,,1.0640263372607706e-06,,,,,,
335.0375939849624,,,1.065925998133821e-06,,,,,,
335.4887218045113,,,1.0678256590068713e-06,,,,,,
335.9398496240601,,,1.0697253181035649e-06,,,,,,
336.390977443609,,,1.0716249772002582e-06,,,,,,
336.8421052631579,,,1.073524638073288e-06,,,,,,
337.29323308270676,,,1.0754243255898227e-06,,,,,,
337.7443609022556,,,1.0773249117743972e-06,,,,,,
338.1954887218045,,,1.079162453897622e-06,,,,,,
338.6466165413534,,,1.0620889742260057e-06,,,,,,
339.09774436090225,,,1.8750362205395498e-06,,,,,,
339.5488721804511,,,0.00037164839850140384,0.0014211119811088767,,,,,
340.0,,,0.011209896427524235,0.023793567447215835,,,,,
340.45112781954884,,,0.000591096759291632,0.0006248421993271299,,,,,
340.90225563909775,,,,2.826520133344471e-06,,,,,
341.3533834586466,,,,2.641984566767148e-07,,,,,
341.8045112781955,,,,2.8335412181548433e-07,,,,,
342.25563909774434,,,,2.8282931547803056e-07,,,,,
342.70676691729324,,,,2.815606023882139e-07,,,,,
343.1578947368421,,,,2.802779235366816e-07,,,,,
343.609022556391,,,,2.789950208637037e-07,,,,,
344.0601503759398,,,,2.777121217434342e-07,,,,,
344.5112781954887,,,,2.7642921907045093e-07,,,,,
344.9624060150376,,,,2.7514631639746767e-07,,,,,
345.4135338345865,,,,2.738634137244844e-07,,,,,
345.8646616541353,,,,2.7258051460421484e-07,,,,,
346.3157894736842,,,,2.712976083785179e-07,,,,,
346.76691729323306,,,,2.7001470925824833e-07,,,,,
347.21804511278197,,,,2.687318065852651e-07,,,,,
347.6691729323308,,,,2.674489039122818e-07,,,,,
348.1203007518797,,,,2.6616600479201225e-07,,,,,
348.57142857142856,,,,2.648830985663153e-07,,,,,
349.02255639097746,,,,2.6360019944604574e-07,,,,,
349.4736842105263,,,,2.6231730032577616e-07,,,,,
349.9248120300752,,,,2.610343941000792e-07,,,,,
350.37593984962405,,,,2.5975149497980965e-07,,,,,
350.82706766917295,,,,2.584685923068264e-07,,,,,
351.2781954887218,,,,2.5718568963384314e-07,,,,,
351.7293233082707,,,,2.5590279051357356e-07,,,,,
352.18045112781954,,,,2.546198878405903e-07,,,,,
352.63157894736844,,,,2.5333698516760705e-07,,,,,
353.0827067669173,,,,2.520540860473375e-07,,,,,
353.5338345864661,,,,2.5077117982164054e-07,,,,,
353.98496240601503,,,,2.4948828070137097e-07,,,,,
354.43609022556393,,,,2.482053780283877e-07,,,,,
354.8872180451128,,,,2.4692247535540446e-07,,,,,
355.3383458646616,,,,2.456395726824212e-07,,,,,
355.7894736842105,,,,2.4435667000943795e-07,,,,,
356.2406015037594,,,,2.4307377088916837e-07,,,,,
356.69172932330827,,,,2.4179086821618406e-07,,,,,
357.1428571428571,,,,2.405079726485353e-07,,,,,
357.593984962406,,,,2.3922614643938675e-07,,,,,
358.0451127819549,,,,2.3808611183229713e-07,,,,,
358.49624060150376,,,,2.5389474325721585e-07,,,,,
358.9473684210526,,,,2.1804120640605036e-06,,,,,
359.3984962406015,,,,0.00021052297592940683,0.0006682292497951764,,,,
359.8496240601504,,,,0.014963155565066623,0.049792128733697844,,,,
360.30075187969925,,,,0.005141444258464741,0.01769100929493246,,,,
360.7518796992481,,,,,0.00024535147722605044,,,,
361.203007518797,,,,,2.2937602416719305e-06,,,,
361.6541353383459,,,,,7.316103510157804e-07,,,,
362.10526315789474,,,,,7.696494742651639e-07,,,,
362.5563909774436,,,,,7.710535356803129e-07,,,,
363.0075187969925,,,,,7.72013208916111e-07,,,,
363.45864661654133,,,,,7.729675530754314e-07,,,,
363.90977443609023,,,,,7.739218261804126e-07,,,,
364.3609022556391,,,,,7.748760992853931e-07,,,,
364.812030075188,,,,,7.758303723903737e-07,,,,
365.2631578947368,,,,,7.767846454953542e-07,,,,
365.7142857142857,,,,,7.7773890438948e-07,,,,
366.16541353383457,,,,,7.786931917053153e-07,,,,
366.61654135338347,,,,,7.796474505994411e-07,,,,
367.0676691729323,,,,,7.806017379152763e-07,,,,
367.5187969924812,,,,,7.815559968094021e-07,,,,
