Temperature (T),v_region_1,v_region_2,v_region_3,v_region_4,v_region_5
280.0,8.720727429079034e-08,,,,
280.45112781954884,8.724243105717733e-08,,,,
280.90225563909775,8.72775869353859e-08,,,,
281.3533834586466,8.731274370177289e-08,,,,
281.8045112781955,8.734790046815988e-08,,,,
282.25563909774434,8.738305679045766e-08,,,,
282.70676691729324,8.741821311275544e-08,,,,
283.1578947368421,8.745336943505322e-08,,,,
283.609022556391,8.7488525757351e-08,,,,
284.0601503759398,8.752368252373799e-08,,,,
284.5112781954887,8.755883884603577e-08,,,,
284.9624060150376,8.759399561242276e-08,,,,
285.4135338345865,8.762915193472054e-08,,,,
285.8646616541353,8.766430870110753e-08,,,,
286.3157894736842,8.76994645793161e-08,,,,
286.76691729323306,8.773462134570309e-08,,,,
287.21804511278197,8.776977766800087e-08,,,,
287.6691729323308,8.780493399029865e-08,,,,
288.1203007518797,8.784009075668564e-08,,,,
288.57142857142856,8.787524752307263e-08,,,,
289.02255639097746,8.79104034012812e-08,,,,
289.4736842105263,8.794556016766819e-08,,,,
289.9248120300752,8.798071648996597e-08,,,,
290.37593984962405,8.801587281226375e-08,,,,
290.82706766917295,8.805102957865074e-08,,,,
291.2781954887218,8.808618545685931e-08,,,,
291.7293233082707,8.81213422232463e-08,,,,
292.18045112781954,8.815649854554408e-08,,,,
292.63157894736844,8.819165531193107e-08,,,,
293.0827067669173,8.822681163422885e-08,,,,
293.5338345864662,8.826196840061584e-08,,,,
293.98496240601503,8.829712427882441e-08,,,,
294.43609022556393,8.83322810452114e-08,,,,
294.8872180451128,8.836743736750918e-08,,,,
295.3383458646617,8.840259368980696e-08,,,,
295.7894736842105,8.843775045619395e-08,,,,
296.2406015037594,8.847290677849173e-08,,,,
296.69172932330827,8.850806310078951e-08,,,,
297.14285714285717,8.85432198671765e-08,,,,
297.593984962406,8.857837574538507e-08,,,,
298.0451127819549,8.861353295586127e-08,,,,
298.49624060150376,8.864868927815905e-08,,,,
298.9473684210526,8.868384560045683e-08,,,,
299.3984962406015,8.871900236684382e-08,,,,
299.8496240601504,8.87541586891416e-08,,,,
300.30075187969925,8.878931456735017e-08,,,,
300.7518796992481,8.882447133373716e-08,,,,
301.203007518797,8.885962810012416e-08,,,,
301.65413533834584,8.889478442242194e-08,,,,
302.10526315789474,8.892994074471972e-08,,,,
302.5563909774436,8.89650975111067e-08,,,,
303.0075187969925,8.900025338931528e-08,,,,
303.45864661654133,8.903541015570227e-08,,,,
303.90977443609023,8.907056692208926e-08,,,,
304.3609022556391,8.910572324438704e-08,,,,
304.812030075188,8.914087956668482e-08,,,,
305.2631578947368,8.91760363330718e-08,,,,
305.7142857142857,8.921119221128038e-08,,,,
306.16541353383457,8.924634897766737e-08,,,,
306.61654135338347,8.928150574405436e-08,,,,
307.0676691729323,8.931666162226293e-08,,,,
307.5187969924812,8.935181838864992e-08,,,,
307.96992481203006,8.93869747109477e-08,,,,
308.42105263157896,8.942213103324548e-08,,,,
308.8721804511278,8.945728779963247e-08,,,,
309.3233082706767,8.949244456601946e-08,,,,
309.77443609022555,8.952760044422803e-08,,,,
310.22556390977445,8.956275721061502e-08,,,,
310.6766917293233,8.959791308882359e-08,,,,
311.1278195488722,8.963306985521058e-08,,,,
311.57894736842104,8.966822662159757e-08,,,,
312.03007518796994,8.970338338798456e-08,,,,
312.4812030075188,8.973853926619308e-08,,,,
312.9323308270677,8.977370180573559e-08,,,,
313.38345864661653,8.980941146280421e-08,,,,
313.83458646616543,8.989548391023005e-08,,,,
314.2857142857143,9.461500043611477e-08,,,,
314.7368421052632,5.255713816757874e-07,,,,
315.187969924812,4.0139123699037826e-05,,,,
315.6390977443609,0.00349393218009873,0.02070542013833359,,,
316.09022556390977,0.028227918079681627,0.16808404516377384,,,
316.5413533834586,0.0006133338429491998,0.003669247833242983,,,
316.9924812030075,,4.1383329050527284e-05,,,
317.4436090225564,,5.906311373127712e-07,,,
317.89473684210526,,1.3417307008356185e-07,,,
318.3458646616541,,1.2718344065972698e-07,,,
318.796992481203,,1.2520076708701883e-07,,,
319.2481203007519,,1.2327386045285398e-07,,,
319.69924812030075,,1.2134757199078194e-07,,,
320.1503759398496,,1.194212906341363e-07,,,
320.6015037593985,,1.1749500927749068e-07,,,
321.05263157894734,,1.1556872792084505e-07,,,
321.50375939849624,,1.1364244656419942e-07,,,
321.9548872180451,,1.1171616520755379e-07,,,
322.406015037594,,1.0978988385090815e-07,,,
322.85714285714283,,1.0786360249426252e-07,,,
323.30827067669173,,1.0593732469033057e-07,,,
323.7593984962406,,1.0401104333368494e-07,,,
324.2105263157895,,1.0208476197703931e-07,,,
324.6616541353383,,1.0015848062039368e-07,,,
325.1127819548872,,9.823220281646172e-08,,,
325.56390977443607,,9.630592145981609e-08,,,
326.01503759398497,,9.437964010317046e-08,,,
326.4661654135338,,9.245335874652483e-08,,,
326.9172932330827,,9.05270773898792e-08,,,
327.36842105263156,,8.860079603323356e-08,,,
327.81954887218046,,8.667451467658793e-08,,,
328.2706766917293,,8.474823687265598e-08,,,
328.7218045112782,,8.282195551601035e-08,,,
329.17293233082705,,8.089567415936472e-08,,,
329.62406015037595,,7.896939280271909e-08,,,
330.0751879699248,,7.704311499878713e-08,,,
330.5263157894737,,7.51168336421415e-08,,,
330.97744360902254,,7.319055228549587e-08,,,
331.42857142857144,,7.126427092885024e-08,,,
331.8796992481203,,6.93379895722046e-08,,,
332.3308270676692,,6.741170821555897e-08,,,
332.78195488721803,,6.548543041162702e-08,,,
333.23308270676694,,6.355914550226771e-08,,,
333.6842105263158,,6.163286769833576e-08,,,
334.1353383458647,,5.970658634169013e-08,,,
334.5864661654135,,5.7780304985044495e-08,,,
335.0375939849624,,5.5854023628398863e-08,,,
335.4887218045113,,5.392774582446691e-08,,,
335.9398496240601,,5.200146446782128e-08,,,
336.390977443609,,5.007518311117565e-08,,,
336.8421052631579,,4.8148901754530016e-08,,,
337.29323308270676,,4.6222620397884384e-08,,,
337.7443609022556,,4.429633904123875e-08,,,
338.1954887218045,,4.23700612373068e-08,,,
338.6466165413534,,4.044377988066117e-08,,,
339.09774436090225,,3.8517498524015537e-08,,,
339.5488721804511,,3.6591217167369905e-08,,,
340.0,,3.4664935810724273e-08,,,
340.45112781954884,,3.273865800679232e-08,,,
340.90225563909775,,3.081237665014669e-08,,,
341.3533834586466,,2.8886095293501057e-08,,,
341.8045112781955,,2.6959813936855426e-08,,,
342.25563909774434,,2.5033532580209794e-08,,,
342.70676691729324,,2.3107251223564163e-08,,,
343.1578947368421,,2.118096986691853e-08,,,
343.609022556391,,1.9254692062986578e-08,,,
344.0601503759398,,1.7328410706340946e-08,,,
344.5112781954887,,1.5402129349695315e-08,,,
344.9624060150376,,1.3475847993049683e-08,,,
345.4135338345865,,1.1549566636404052e-08,,,
345.8646616541353,,9.623288832472099e-09,,,
346.3157894736842,,7.697007475826467e-09,,,
346.76691729323306,,5.770726119180836e-09,,,
347.21804511278197,,3.844444762535204e-09,,,
347.6691729323308,,1.9181634058895725e-09,,,
348.1203007518797,,8.117950756059145e-12,,,
348.57142857142856,,1.9343957546880095e-09,,,
349.02255639097746,,3.860662900478476e-09,,,
349.4736842105263,,5.785473433599779e-09,,,
349.9248120300752,,7.564050711760356e-09,,,
350.37593984962405,,5.2067465728847236e-09,,,
350.82706766917295,,1.4551052104274303e-06,,,
351.2781954887218,,0.00014378082384505767,,,
351.7293233082707,,0.012358991452909715,0.08544384654922915,,
352.18045112781954,,0.027298653701711476,0.19837761169156393,,
352.63157894736844,,0.00043094197830234604,0.003265001625068157,,
353.0827067669173,,,3.8775326301638244e-05,,
353.5338345864661,,,2.944700764941707e-07,,
353.98496240601503,,,7.635132401345777e-07,,
354.43609022556393,,,7.704880857570128e-07,,
354.8872180451128,,,7.719694679051414e-07,,
355.3383458646616,,,7.733859490599546e-07,,
355.7894736842105,,,7.748016344066855e-07,,
356.2406015037594,,,7.762173339642686e-07,,
356.69172932330827,,,7.776330335218518e-07,,
357.1428571428571,,,7.790487188685802e-07,,
357.593984962406,,,7.804644042153086e-07,,
358.0451127819549,,,7.818801037728917e-07,,
358.49624060150376,,,7.832957891196202e-07,,
358.9473684210526,,,7.847114744663486e-07,,
359.3984962406015,,,7.861271740239317e-07,,
359.8496240601504,,,7.875428593706602e-07,,
360.30075187969925,,,7.889585447173886e-07,,
360.7518796992481,,,7.903742442749717e-07,,
361.203007518797,,,7.917899296217001e-07,,
361.6541353383459,,,7.932056291792833e-07,,
362.10526315789474,,,7.946213145260117e-07,,
362.5563909774436,,,7.960369998727401e-07,,
363.0075187969925,,,7.974526994303233e-07,,
363.45864661654133,,,7.988683989879064e-07,,
363.90977443609023,,,8.002840843346348e-07,,
364.3609022556391,,,8.016997696813633e-07,,
364.812030075188,,,8.031154692389464e-07,,
365.2631578947368,,,8.045311687965295e-07,,
365.7142857142857,,,8.059468399324032e-07,,
366.16541353383457,,,8.073625394899864e-07,,
366.61654135338347,,,8.087782248367148e-07,,
367.0676691729323,,,8.101939243942979e-07,,
367.5187969924812,,,8.116096097410264e-07,,
367.96992481203006,,,8.130253092986095e-07,,
368.42105263157896,,,8.144409946453379e-07,,
368.8721804511278,,,8.158034603411579e-07,,
369.3233082706767,,,8.169832881321781e-07,,
369.77443609022555,,,8.177196093583916e-07,,
370.22556390977445,,,8.183578756870702e-07,,
370.6766917293233,,,8.189961420157488e-07,,
371.1278195488722,,,8.196344083444274e-07,,
371.57894736842104,,,8.202726888839607e-07,,
372.03007518796994,,,8.209109410017845e-07,,
372.4812030075188,,,8.215492215413178e-07,,
372.93233082706763,,,8.221874736591417e-07,,
373.38345864661653,,,8.228257684095297e-07,,
373.83458646616543,,,8.234640347382083e-07,,
374.2857142857143,,,8.241023010668869e-07,,
374.7368421052631,,,8.247405673955654e-07,,
375.187969924812,,,8.253788479350987e-07,,
375.6390977443609,,,8.26017128474632e-07,,
376.09022556390977,,,8.266553948033106e-07,,
376.5413533834586,,,8.272936611319892e-07,,
376.9924812030075,,,8.279319274606678e-07,,
377.4436090225564,,,8.285701937893464e-07,,
377.89473684210526,,,8.292084743288797e-07,,
378.3458646616541,,,8.29846754868413e-07,,
378.796992481203,,,8.304850211970916e-07,,
379.2481203007519,,,8.311232875257701e-07,,
379.69924812030075,,,8.317615538544487e-07,,
380.1503759398496,,,8.323998201831273e-07,,
380.6015037593985,,,8.330380865118059e-07,,
381.0526315789474,,,8.336763670513392e-07,,
381.50375939849624,,,8.343146475908725e-07,,
381.9548872180451,,,8.349529139195511e-07,,
382.406015037594,,,8.355911802482296e-07,,
382.85714285714283,,,8.362294465769082e-07,,
383.30827067669173,,,8.368677129055868e-07,,
383.7593984962406,,,8.375059934451201e-07,,
384.2105263157895,,,8.381442739846534e-07,,
384.6616541353383,,,8.387825403133292e-07,,
385.1127819548872,,,8.394208634851868e-07,,
385.56390977443607,,,8.400633646267073e-07,,
386.01503759398497,,,8.4114090069254e-07,,
386.4661654135338,,,8.865487386944428e-07,,
386.9172932330827,,,5.3979122510719284e-06,,
387.36842105263156,,,0.0004540401256854256,0.004757412101846661,
387.81954887218046,,,0.03322205484455774,0.3496435051340811,
388.2706766917293,,,0.01736073220313946,0.1831220221672694,
388.7218045112782,,,,0.0024661507142252318,
389.17293233082705,,,,3.3765245450465053e-05,
389.62406015037595,,,,5.070922504029773e-06,
390.0751879699248,,,,4.710451544239641e-06,
390.5263157894737,,,,4.6819936869224405e-06,
390.97744360902254,,,,4.657410954677652e-06,
391.42857142857144,,,,4.632873469745385e-06,
391.8796992481203,,,,4.608336439559935e-06,
392.33082706766913,,,,4.5837992956876406e-06,
392.78195488721803,,,,4.559262265502184e-06,
393.23308270676694,,,,4.534725235316728e-06,
393.6842105263158,,,,4.510188205131271e-06,
394.1353383458646,,,,4.485651061258977e-06,
394.5864661654135,,,,4.461114031073521e-06,
395.0375939849624,,,,4.4365770008880645e-06,
395.4887218045113,,,,4.412039970702608e-06,
395.9398496240601,,,,4.387502940517152e-06,
396.390977443609,,,,4.362965910331695e-06,
396.8421052631579,,,,4.338428880146239e-06,
397.29323308270676,,,,4.3138918499607826e-06,
397.7443609022556,,,,4.289354819775326e-06,
398.1954887218045,,,,4.264817675903032e-06,
398.6466165413534,,,,4.240280532030738e-06,
399.09774436090225,,,,4.2157435018452816e-06,
399.5488721804511,,,,4.191206585346663e-06,
400.0,,,,4.166669441474369e-06,
400.45112781954884,,,,4.142132411288912e-06,
400.90225563909775,,,,4.117595381103456e-06,
401.3533834586466,,,,4.093058350918e-06,
401.8045112781955,,,,4.068521320732543e-06,
402.25563909774434,,,,4.043984290547087e-06,
402.70676691729324,,,,4.019447146674793e-06,
403.1578947368421,,,,3.994910116489336e-06,
403.609022556391,,,,3.97037308630388e-06,
404.0601503759398,,,,3.945836056118424e-06,
404.5112781954887,,,,3.9212989122461295e-06,
404.9624060150376,,,,3.896761995747511e-06,
405.4135338345865,,,,3.872224851875217e-06,
405.8646616541353,,,,3.84768782168976e-06,
406.3157894736842,,,,3.823150791504304e-06,
406.76691729323306,,,,3.7986137613188475e-06,
407.21804511278197,,,,3.774076731133391e-06,
407.6691729323308,,,,3.7495397009479348e-06,
408.12030075187965,,,,3.7250026707624784e-06,
408.57142857142856,,,,3.7004655268901843e-06,
409.02255639097746,,,,3.675928496704728e-06,
409.4736842105263,,,,3.6513913528324338e-06,
409.92481203007515,,,,3.6268543226469774e-06,
410.37593984962405,,,,3.602317292461521e-06,
410.82706766917295,,,,3.5777802622760646e-06,
411.2781954887218,,,,3.5532432320906082e-06,
411.72932330827064,,,,3.528706201905152e-06,
412.18045112781954,,,,3.5041691717196954e-06,
412.63157894736844,,,,3.479632141534239e-06,
413.0827067669173,,,,3.4550951113487827e-06,
413.5338345864661,,,,3.4305580811633263e-06,
413.98496240601503,,,,3.406020937291032e-06,
414.43609022556393,,,,3.3814839071055758e-06,
