region_id,T_low,T_high,width,n_points,mean_abs_f_PL,max_abs_f_PL,rmse_f_PL,mean_abs_y_PL_scaled,max_abs_y_PL_scaled
0,280.0,325.0,45.0,38,0.04593441313637654,0.12330498396785977,0.05867191602278543,0.015215833034889858,0.1057568277637686
1,325.0,347.5,22.5,18,0.042757490073260115,0.20586478730078217,0.06728676889449924,0.003956756400546318,0.02113291180068788
2,347.5,370.0,22.5,15,0.0638550160583193,0.2685574026243591,0.09371684373486955,0.0013856322949814437,0.0068955823105978364
3,370.0,392.5,22.5,18,0.0937992515509828,0.2742797586213115,0.12682832197852487,0.0003416130308995215,0.0022529000555736034
4,392.5,415.0,22.5,21,0.10822446436811159,0.3862672442108419,0.14754075625112315,0.00010466673814225472,0.0006856472230907795
5,415.0,426.25,11.25,8,0.04433009064299398,0.12022587113176542,0.0643897977775745,1.6345969538351008e-05,0.00011250242289467804
6,426.25,437.5,11.25,12,0.10122766991338968,0.2636706744263506,0.1252631848673646,1.9103546880129398e-05,8.805849506482444e-05
7,437.5,443.125,5.625,4,0.036709932328506056,0.08995021401619852,0.04893197426164672,3.887365062622365e-06,1.824661020249918e-05
8,443.125,448.75,5.625,5,0.033917036775278575,0.08649157350441783,0.0435728250184916,2.8171988283864913e-06,1.3403443181458918e-05
9,448.75,454.375,5.625,5,0.036621143378988565,0.09993899832727493,0.05091733657621822,2.602307862102175e-06,1.4964712159892812e-05
10,454.375,460.0,5.625,6,0.08261854587559962,0.19154295887256012,0.10573926704820007,3.863942105583915e-06,1.6778954552820746e-05
