Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.01462,0.04062
2,0.02813,0.03563
3,0.04041,0.02799
4,0.01381,0.02122
5,0.01315,0.01868
6,0.02201,0.02052
7,0.01596,0.03248
8,0.01811,0.01463
9,0.02956,0.02844
10,0.02399,0.01817
11,0.03287,0.01532
12,0.01538,0.01727
13,0.02409,0.02419
14,0.03871,0.02049
15,0.01882,0.03186
16,0.03826,0.01865
17,0.02571,0.03953
18,0.01618,0.02049
19,0.02005,0.02014
20,0.02085,0.02697
21,0.03904,0.03513
22,0.0428,0.01688
23,0.01288,0.02265
24,0.02059,0.03964
25,0.0213,0.04023
26,0.02075,0.0142
27,0.02043,0.03134
28,0.0158,0.02216
29,0.03643,0.0202
30,0.02232,0.03328
31,0.02131,0.04201
32,0.02524,0.02098
33,0.0184,0.0256
34,0.01773,0.02449
35,0.03556,0.02657
36,0.0184,0.02489
37,0.0325,0.03186
38,0.01722,0.02445
39,0.02041,0.03199
40,0.02212,0.02
41,0.03203,0.02289
42,0.02627,0.02228
43,0.02548,0.02686
44,0.01924,0.01195
45,0.03257,0.02333
46,0.02295,0.03149
47,0.02063,0.0196
48,0.01771,0.01795
49,0.0243,0.02704
50,0.02341,0.03403
