model,repeats,final_train_loss_mean,final_train_loss_std,final_val_loss_mean,final_val_loss_std,final_train_violation_mean,final_train_violation_std,final_val_violation_mean,final_val_violation_std,inference_rmse_mean,inference_rmse_std,inference_violation_mean,inference_violation_std,final_train_loss_ci95,final_val_loss_ci95,final_train_violation_ci95,final_val_violation_ci95,inference_rmse_ci95,inference_violation_ci95
KKThPINN,50,3.901474768059415e-05,3.637633852193923e-05,5.0626508089223e-05,4.7945511194242856e-05,0.00028131778928925755,0.00013594122312582748,0.00027387405595299334,0.00015660790776339615,0.005623256757503733,0.002625422732181461,0.00023018037970498083,0.0001070965888974159,1.0083006612291459e-05,1.3289817668418621e-05,3.7680984600305914e-05,4.3409497318238434e-05,0.000727730053223475,2.9685659906513797e-05
NN,50,0.00012602745057700276,8.990808903720844e-05,0.000170167258150864,0.00012042056765566588,0.08600584502009567,0.04670743551367045,0.100474517293523,0.056242722249598184,0.010252866787187214,0.004402052417254508,0.0859863963575443,0.049030844852186964,2.492125082115972e-05,3.337887839359267e-05,0.012946640598351501,0.015589687235672297,0.0012201866772286838,0.013590656809856475
PINN,50,0.0005542435613806135,0.00046191842990959584,0.000729585768766456,0.0005738525646080178,0.03010747119979502,0.020091911704671388,0.033502685624786484,0.02321653834443456,0.0176462283617876,0.00594558482435083,0.029725389306217483,0.021534670444485267,0.00012803725642449433,0.00015906381561556332,0.005569193789242806,0.006435296106018654,0.0016480320321879734,0.005969106108749917
