model,model_id,run,mu,n_points,final_train_loss,final_val_loss,final_train_violation,final_val_violation,inference_rmse,inference_violation
NN,NN_n150,0,0.0,150,0.0002735945910612309,0.0003593805139869592,0.16822553596561562,0.19864292432187386,0.016396205589309702,0.1733191006035823
NN,NN_n150,1,0.0,150,0.00025645028349555984,0.0003484628976795841,0.15429201017473046,0.1794101875953758,0.015919204585368957,0.1582269712348311
NN,NN_n150,2,0.0,150,7.380980053613994e-05,0.00010175980444073168,0.04810291464217392,0.05851111946755762,0.00846337266839688,0.048185175777961844
NN,NN_n150,3,0.0,150,0.00016552513665222605,0.00021789991356900064,0.09180567204220598,0.11112987323973597,0.012287092192128462,0.07604398795544032
NN,NN_n150,4,0.0,150,8.432372057366377e-05,0.00012435646889974154,0.06262812136629098,0.07191450830881826,0.008872928468083246,0.0625311446881367
NN,NN_n150,5,0.0,150,0.0002559921944667687,0.00034175291543941835,0.15218854059860976,0.17261284690933731,0.015455696507117507,0.1518309455535435
NN,NN_n150,6,0.0,150,0.00010726919962711113,0.00015332939009469657,0.08899174322057417,0.10647085277882365,0.010304080717464406,0.08744887377752088
NN,NN_n150,7,0.0,150,3.180112999445846e-05,4.8377240769993814e-05,0.037200545023501126,0.03976683055471596,0.005407720203206843,0.03443305111333758
NN,NN_n150,8,0.0,150,1.0786142952712604e-05,1.1562948549631953e-05,0.0295758893387616,0.026645060467271355,0.0032326653263454537,0.02437962933586501
NN,NN_n150,9,0.0,150,2.1338248612042975e-05,3.1065600637063986e-05,0.03210657879940859,0.0359587320743514,0.004479780519149626,0.030629827647469323
NN,NN_n150,10,0.0,150,0.0002469655768409629,0.0003379473100876488,0.1587835745825993,0.19008121106041445,0.01559027596425187,0.16282072524817065
NN,NN_n150,11,0.0,150,0.000226947989171031,0.0002950314796027758,0.1330910785043861,0.14333896564108,0.014689466390106917,0.13739314270897068
NN,NN_n150,12,0.0,150,0.00027532208627825433,0.00038315956299405003,0.15248462432812748,0.18341276820480018,0.01656444948977637,0.1550109426820688
NN,NN_n150,13,0.0,150,0.00016546744589033212,0.00023333149658058007,0.13594198533431515,0.16311480048240348,0.01292691651805426,0.14105553217084577
NN,NN_n150,14,0.0,150,1.0060906814053611e-05,1.296755135589475e-05,0.021890697171593254,0.023093904202864366,0.003505755680745428,0.019419269062870607
NN,NN_n150,15,0.0,150,1.780247923302878e-05,2.2713412216094454e-05,0.016150109427788228,0.021619764454165503,0.0044722012235048686,0.020650193898915634
NN,NN_n150,16,0.0,150,0.00011535532193195849,0.0001607605700307089,0.1205179299363882,0.1379384959636164,0.010706704791689892,0.12472482428361435
NN,NN_n150,17,0.0,150,2.278177613974753e-05,3.0237506839492998e-05,0.030619777653094902,0.028952221877321962,0.004421993723668613,0.026664625957941855
NN,NN_n150,18,0.0,150,0.00013000969710780014,0.00017334671546032342,0.10142619874772013,0.11998610934365064,0.0115363746844016,0.10383632754467312
NN,NN_n150,19,0.0,150,0.00011256941173429603,0.0001554507723022197,0.07439400946784853,0.09010722097992815,0.010672332698217027,0.07781447504767361
NN,NN_n150,20,0.0,150,0.0001626999789914168,0.0002050630379458227,0.09889431432975372,0.11656567010389132,0.012772631286113527,0.09089467207677916
NN,NN_n150,21,0.0,150,4.691822189495278e-05,6.925562963597235e-05,0.04289840378902384,0.05421847205996487,0.006882602960490892,0.045315347102288885
NN,NN_n150,22,0.0,150,0.0001236999039179349,0.0001598403136492283,0.05788888897266941,0.07120468631512222,0.011876545235003052,0.0560715303272924
NN,NN_n150,23,0.0,150,0.0001875239659477922,0.0002493153491400432,0.11314266227888252,0.13661341340369687,0.013545796584162795,0.1048063762265096
NN,NN_n150,24,0.0,150,8.190947505495546e-05,0.00011483105197298852,0.06260230700909025,0.07613271675622385,0.008814507249674032,0.06539276098006541
NN,NN_n150,25,0.0,150,0.00022650017829853916,0.00029560562961220655,0.11659077994910538,0.14154187712582939,0.014904719714396516,0.12220787668712091
NN,NN_n150,26,0.0,150,6.990714411272834e-06,7.545859227378471e-06,0.022721454841539594,0.021412159072046598,0.0027469534953395327,0.02351070709675696
NN,NN_n150,27,0.0,150,0.00019389156511916646,0.00024847240896307506,0.06040720435803495,0.07255569805348137,0.013797098009901754,0.05654278605029539
NN,NN_n150,28,0.0,150,0.0002269755646902785,0.00031094008655055774,0.13601362948197143,0.1659000503872864,0.01525067314201582,0.14087930942078913
NN,NN_n150,29,0.0,150,9.337094851499587e-05,0.00013421330055255287,0.10523330805249642,0.12899402393981368,0.009754161096715461,0.10917343739225799
NN,NN_n150,30,0.0,150,9.967623397440441e-05,0.00016355928825282544,0.05138546869682655,0.05946292061688082,0.009834641715310864,0.05564386424951137
NN,NN_n150,31,0.0,150,0.00010529158509675926,0.0001404859179047423,0.0711014947814843,0.08300006762782322,0.010277348626324475,0.07622016085438252
NN,NN_n150,32,0.0,150,0.0002622977887983149,0.0003509353009659859,0.1521559747546952,0.17658915369352268,0.016400219321594703,0.1590775613203585
NN,NN_n150,33,0.0,150,2.638691771098292e-05,2.9524401629888293e-05,0.03123504315373601,0.03016943802129738,0.0049741252073054526,0.020581140326952685
NN,NN_n150,34,0.0,150,0.00020797179082911358,0.0002624991337538107,0.12983649326252641,0.14542197163898607,0.014361607253878288,0.13358940917254802
NN,NN_n150,35,0.0,150,0.00024758691317475245,0.0003473186887621099,0.1415421999639337,0.17149776258159072,0.015538806956383074,0.14349665839666725
NN,NN_n150,36,0.0,150,1.9989129785346723e-05,2.4480295280964582e-05,0.0342047952381559,0.033727958341229144,0.004018835550519995,0.028971470160376878
NN,NN_n150,37,0.0,150,5.915292964949636e-05,8.315902561364544e-05,0.07248133237581271,0.08700899705852119,0.007464856783757798,0.07169038723644969
NN,NN_n150,38,0.0,150,0.00021252889119692932,0.0002744896236271565,0.108994469250483,0.12409549790495669,0.014416762108167358,0.1138780864090037
NN,NN_n150,39,0.0,150,0.00010902435967909156,0.00015080553434063305,0.0808964857937289,0.0875582597917549,0.009737235259915442,0.08407181330705928
NN,NN_n150,40,0.0,150,1.7614264818909254e-05,2.6410573427895062e-05,0.02841785991539306,0.03255246571379186,0.004057239766855223,0.024752169811617004
NN,NN_n150,41,0.0,150,2.1022214056734882e-05,2.6490981768837667e-05,0.03338857912134158,0.03503378569767655,0.005127769263757072,0.036259052211050816
NN,NN_n150,42,0.0,150,9.459299476148295e-05,0.0001262465295552865,0.08638426252896209,0.10169541923206393,0.009855743802146173,0.08350476968379042
NN,NN_n150,43,0.0,150,0.00028052701386058974,0.0003804010398812506,0.16397217997094782,0.19556363169955948,0.016606624907835772,0.1706064714371759
NN,NN_n150,44,0.0,150,2.1924598238229976e-05,2.6489653751807324e-05,0.039533691882567105,0.03985404738005403,0.004444138652478652,0.03326407069549067
NN,NN_n150,45,0.0,150,2.422312290707082e-05,3.1520956569811964e-05,0.0458067517373462,0.04956382456462451,0.004953757657217539,0.039429838573311615
NN,NN_n150,46,0.0,150,6.109704836519277e-05,7.894652854526917e-05,0.06409633914356824,0.07564567695503864,0.007680139808188729,0.060831376807108664
NN,NN_n150,47,0.0,150,0.00016470396953226942,0.0002256266205927573,0.09119852063700518,0.11264180800458566,0.01267474012862745,0.08507640689081264
NN,NN_n150,48,0.0,150,7.884332411475739e-05,0.00011088247090759224,0.08150795640445577,0.09979442353493764,0.009004756528803465,0.08269861793902422
