mu,rmse_mean,rmse_std,violation_mean,violation_std
0.0,0.00859713461822867,0.0034258759965247938,0.056919178392449865,0.026344209928365413
0.0001,0.008940806541715458,0.0006649566711142693,0.07029408872993274,0.016224409682881837
0.001,0.010889191338701996,0.0031294934305758264,0.08497690747986542,0.04295225029318177
0.01,0.012627960126091473,0.004008900432832287,0.06447023865871944,0.030197673311127604
0.1,0.013979229030917716,0.003344670971016336,0.01564733385632666,0.007248568881434309
1.0,0.051384695856108005,0.010409568417118013,0.016824398733178866,0.0028365443153542734
10.0,0.135490824733978,0.013352865239160442,0.005268004506262456,0.003517423702427672
100.0,0.17240424225197368,0.03356439665756321,0.005213482196433782,0.0012335642132900303
