region_id,C_low,C_high,n_points,mean_abs_linearization_error,rmse_linearization_error,max_abs_linearization_error,mean_abs_nonlinear_residual,mean_abs_linearized_residual
0,0.5,0.5333333333333333,8,0.01670758624779821,0.0189937536116651,0.026706511287763256,4.718447854656915e-16,0.01670758624779821
1,0.5333333333333333,0.5666666666666667,6,0.010361091370249403,0.013529949585104969,0.02217290764999456,4.440892098500626e-16,0.010361091370249256
2,0.5666666666666667,0.6,7,0.01577000644322927,0.017489211922825043,0.02276094992353566,5.709718412357948e-16,0.01577000644322946
3,0.6,0.6333333333333333,8,0.01135636098059516,0.014206161455631382,0.023503222384094455,4.718447854656915e-16,0.011356360980595077
4,0.6333333333333333,0.6666666666666666,6,0.009099352559493564,0.0112856285162724,0.019739855966448568,2.590520390792032e-16,0.009099352559493712
5,0.6666666666666666,0.7,7,0.01158588962987052,0.014208197667261963,0.021445617508614033,6.344131569286609e-16,0.011585889629870076
6,0.7,0.7333333333333334,8,0.009492052628293527,0.012002267235146144,0.020666117777280002,4.163336342344337e-16,0.009492052628293444
7,0.7333333333333334,0.7666666666666666,6,0.007576644354515172,0.010058047463801154,0.01710913726800791,6.291263806209221e-16,0.007576644354515358
8,0.7666666666666666,0.8,7,0.005702013804025916,0.007741715604675441,0.017591474204551656,7.61295788314393e-16,0.0057020138040264874
9,0.8,0.8333333333333333,8,0.011121735715082643,0.012567940708845862,0.018197529169516204,4.718447854656915e-16,0.011121735715082532
10,0.8333333333333333,0.8666666666666667,6,0.008546439721853696,0.00980120935183288,0.01434881482177092,7.401486830834377e-16,0.00854643972185377
11,0.8666666666666667,0.9,7,0.008623676555815196,0.010193617365968553,0.01552212665167619,3.489272363107635e-16,0.0086236765558151
12,0.9,0.9333333333333332,8,0.00799599607113653,0.009792949811395456,0.01607293020062274,4.163336342344337e-16,0.007995996071136614
13,0.9333333333333332,0.9666666666666668,6,0.007145500832000748,0.008498960273294116,0.01359135968341756,6.661338147750939e-16,0.007145500832001266
14,0.9666666666666668,1.0,7,0.006460269929521686,0.008826500627814603,0.013752898690970378,6.026924990822279e-16,0.006460269929521908
15,1.0,1.0333333333333332,8,0.007601616779070091,0.00972276028651012,0.014254746961216251,4.163336342344337e-16,0.007601616779070396
16,1.0333333333333332,1.0666666666666669,6,0.002958020516164656,0.004347604745178129,0.007716560482583876,8.881784197001252e-16,0.002958020516164804
17,1.0666666666666669,1.1,7,0.007222305950074232,0.008201758166119535,0.012243532681060557,7.61295788314393e-16,0.007222305950074803
18,1.1,1.1333333333333333,8,0.009996214329684776,0.010733881263233101,0.012701680021684987,6.38378239159465e-16,0.009996214329684637
19,1.1333333333333333,1.1666666666666663,6,0.008005407633840172,0.00888106232735898,0.011543886600501523,5.921189464667501e-16,0.008005407633840172
20,1.1666666666666663,1.2,7,0.0056524753051213905,0.006879005981376402,0.010955021807523717,9.198990775465584e-16,0.00565247530512047
21,1.2,1.2333333333333334,8,0.006091210753293861,0.0075854194827066936,0.0113740077595158,4.718447854656915e-16,0.006091210753293944
22,1.2333333333333334,1.2666666666666666,6,0.005376360531700544,0.006454541672012187,0.009887092117938028,9.251858538542972e-16,0.005376360531700433
23,1.2666666666666666,1.3,7,0.006213144930184066,0.0073455460467119005,0.009852251314587463,6.97854472621527e-16,0.006213144930183876
24,1.3,1.3333333333333337,8,0.004950698080080198,0.006330575663668368,0.010236085460017585,3.608224830031759e-16,0.004950698080080336
25,1.3333333333333337,1.3666666666666667,6,0.004759328489912383,0.005360612741628234,0.007620776319716242,7.031412489292658e-16,0.004759328489912568
26,1.3666666666666667,1.4,7,0.0031901395426057848,0.004361576701405653,0.008904901514560373,2.220446049250313e-16,0.0031901395426058164
27,1.4,1.4333333333333331,8,0.0047891113880676964,0.005901477591276493,0.009257163404019723,4.996003610813204e-16,0.004789111388067474
28,1.4333333333333331,1.4666666666666668,6,0.002720028871171858,0.0036529803066474398,0.006178396716076097,3.7007434154171886e-16,0.00272002887117171
29,1.4666666666666668,1.5,8,0.005482633408642997,0.006229157593569267,0.008679894197326378,4.440892098500626e-16,0.005482633408642608
