Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.00025,4e-05
2,7e-05,5e-05
3,0.00021,8e-05
4,5e-05,0.00022
5,7e-05,0.00021
6,3e-05,6e-05
7,0.0002,0.00023
8,0.00021,0.00022
9,4e-05,0.00024
10,0.00022,0.00014
11,0.00014,2e-05
12,6e-05,2e-05
13,1e-05,8e-05
14,0.00013,8e-05
15,0.00021,0.0002
16,0.0001,1e-05
17,0.00018,7e-05
18,1e-05,3e-05
19,9e-05,0.00021
20,0.00014,0.0001
21,0.0001,0.0
22,0.00027,0.00013
23,1e-05,0.00013
24,4e-05,2e-05
25,0.00021,0.00013
26,7e-05,1e-05
27,7e-05,4e-05
28,9e-05,9e-05
29,0.00022,2e-05
30,0.00018,7e-05
31,6e-05,7e-05
32,0.00021,0.00024
33,2e-05,0.00011
34,8e-05,9e-05
35,0.00012,7e-05
36,0.00022,0.00022
37,0.00011,3e-05
38,0.00024,2e-05
39,0.00021,0.00014
40,5e-05,0.00025
41,0.00012,6e-05
42,9e-05,1e-05
43,0.0001,0.00027
44,0.00021,0.0002
45,0.00018,0.00015
46,7e-05,0.00022
47,0.00012,3e-05
48,0.00014,2e-05
49,0.00015,7e-05
50,0.0002,0.00016
