region_id,T_low,T_high,Tss,Cass,Cbss,Ccss,fss,aT,aCa,aCb
0,280.0,325.0,302.5,0.9156200161192216,1.8312400322384432,0.2531399516423352,-4.119968255444917e-17,-0.010033072398806008,-1.1117171334105793,-0.11171713341057928
1,325.0,347.5,336.25,0.5918261872337094,1.1836523744674188,1.2245214382988718,-3.3306690738754696e-16,-0.0439418149992076,-2.8351549731976946,-1.8351549731976948
2,347.5,370.0,358.75,0.4980694093922203,0.9961388187844403,1.5057917718233393,0.0,-0.0738262576650921,-11.044545559820703,-10.044545559820705
3,370.0,392.5,381.25,0.46064885270074807,0.9212977054014951,1.6180534418977568,-3.552713678800501e-15,-0.18660710619476872,-51.5240248011212,-50.524024801121236
4,392.5,415.0,403.75,0.4373038778129393,0.874607755625867,1.6880883665611937,0.0,-0.5933840439070881,-219.24902357163182,-218.2490235716341
5,415.0,426.25,420.625,0.423088579253414,0.8461771585068244,1.7307342622397617,2.842170943040401e-14,-1.4017674594502196,-593.5825441985587,-592.5825441985608
6,426.25,437.5,431.875,0.41455914059222976,0.8291182811844495,1.7563225782233207,-5.684341886080802e-14,-2.4209508302497937,-1106.0307330078713,-1105.030733007882
7,437.5,443.125,440.3125,0.40856091722331367,0.817121834446716,1.7743172483299703,2.2737367544323206e-13,-3.588432330208118,-1728.1385726441522,-1727.1385726439999
8,443.125,448.75,445.9375,0.4047314873733388,0.8094629747467245,1.785805537879937,-1.1368683772161603e-13,-4.628429002515901,-2305.4490466213947,-2304.449046621286
9,448.75,454.375,451.5625,0.4010276727599535,0.8020553455198818,1.796916981720165,-2.2737367544323206e-13,-5.932746965983327,-3053.773112223247,-3052.7731122233254
10,454.375,460.0,457.1875,0.3974423242728614,0.7948846485455731,1.8076730271815655,2.2737367544323206e-13,-7.558201512012211,-4017.2584075520917,-4016.258407552712
