n_segments,NN_RMSE_mean,KKThPINN_RMSE_mean,NN_VIOL_NL_mean,KKThPINN_VIOL_NL_mean,NN_TIME_mean_sec,KKThPINN_TIME_mean_sec
1,0.08545448565205171,0.12372822304110441,90.81655906200409,103.00977981567382,0.004136,0.004738
2,0.08555327024905353,0.0745894107261197,95.64194250106812,7.3218703705072405,0.004278,0.005144000000000001
3,0.08743779825525987,0.07252579463121717,86.32402126550674,3.076599362492561,0.004332,0.005386000000000001
5,0.09696635442842926,0.06947067875867932,104.08073887825012,0.9144116759300231,0.004521999999999999,0.0062439999999999996
7,0.08983255199301311,0.07007902460967734,89.94652224063873,0.7057777968049049,0.004685999999999999,0.007208000000000001
9,0.08583796226544861,0.06943026632595144,91.84045692920685,0.5334435828775167,0.004816,0.007748
11,0.08450151375358239,0.07143314631564031,82.74193410873413,0.5174582367390395,0.004947999999999999,0.008214
