Temperature (T),Ca,Cb,Cc,f,g
280.0,0.9936625015244944,1.9873250030489888,0.01901249542651676,2.261086856269499e-06,0.0006360109344068277
280.3203203203203,0.9933827825561048,1.9867655651122096,0.019851652331685732,2.4554391280942962e-06,0.0006641771835176179
280.64064064064064,0.9930916902123786,1.9861833804247573,0.020724929362864054,2.6658826473610707e-06,0.0006934968614094953
280.96096096096096,0.9927888159083628,1.9855776318167255,0.021633552274911753,2.8936930761442012e-06,0.0007240121022398685
281.2812812812813,0.9924737395855662,1.9849474791711323,0.022578781243301524,3.1402419933477034e-06,0.0007557662834367325
281.6016016016016,0.9921460295994047,1.9842920591988094,0.02356191120178595,3.407003624240194e-06,0.0007888040436837732
281.9219219219219,0.9918052426218776,1.9836104852437553,0.024584272134367077,3.695561997183246e-06,0.000823171299809417
282.24224224224224,0.9914509235608889,1.9829018471217779,0.02564722931733323,4.007618550457518e-06,0.0008589152624615646
282.56256256256256,0.9910826054976859,1.9821652109953718,0.02675218350694226,4.345000212918254e-06,0.0008960844504443254
282.8828828828829,0.9906998096439438,1.9813996192878875,0.027900571068168668,4.709667983032217e-06,0.0009347287035886506
283.2032032032032,0.9903020453200773,1.9806040906401545,0.02909386403976816,5.10372603165642e-06,0.0009748991940239305
283.5235235235235,0.9898888099564125,1.979777619912825,0.030333570130762464,5.5294313547017905e-06,0.001016648435713458
283.84384384384384,0.9894595891188994,1.9789191782377988,0.03162123264330179,5.9892040025904574e-06,0.0010600302921126533
284.16416416416416,0.9890138565610869,1.9780277131221737,0.032958430316739305,6.4856379141440425e-06,0.001105099981805453
284.4844844844845,0.9885510743041229,1.9771021486082458,0.03434677708763122,7.021512383232741e-06,0.001151914081970938
284.8048048048048,0.9880706927465706,1.9761413854931411,0.035787921760288215,7.59980418716732e-06,0.0012005305295301088
285.1251251251251,0.9875721508058597,1.9751443016117194,0.037283547582420876,8.223700406407982e-06,0.001251008619820438
285.44544544544544,0.9870548760932092,1.9741097521864184,0.03883537172037251,8.896611965704912e-06,0.0013034090026447847
285.76576576576576,0.9865182851238651,1.9730365702477302,0.04044514462840478,9.622187927257384e-06,0.0013577936755407502
286.0860860860861,0.9859617835644988,1.9719235671289976,0.04211464930650345,1.0404330566867884e-05,0.0014142259741169848
286.4064064064064,0.9853847665196002,1.9707695330392003,0.04384570044119943,1.1247211264384922e-05,0.0014727705593043704
286.7267267267267,0.9847866188586767,1.9695732377173534,0.045640143423970075,1.2155287239943698e-05,0.0015334934013722806
287.04704704704704,0.9841667155860372,1.9683334311720744,0.04749985324188845,1.3133319167632652e-05,0.0015964617605639085
287.36736736736736,0.983524422254889,1.967048844509778,0.049426733235333094,1.4186389698222759e-05,0.0016617441642093275
287.6876876876877,0.9828590954274176,1.9657181908548351,0.05142271371774733,1.5319922922486096e-05,0.0017294103801807313
288.008008008008,0.9821700831824377,1.9643401663648754,0.053489750452686724,1.653970480639482e-05,0.001799531386562622
288.3283283283283,0.9814567256721147,1.9629134513442295,0.05562982298365574,1.785190462912016e-05,0.00187217933741765
288.64864864864865,0.9807183557291412,1.9614367114582825,0.057844932812576175,1.9263097454236262e-05,0.0019474275245401093
288.96896896896897,0.9799542995256306,1.9599085990512612,0.06013710142310804,2.0780287663872616e-05,0.0020253503351008104
289.2892892892893,0.9791638772848347,1.9583277545696693,0.06250836814549593,2.2410933584745715e-05,0.002106023205101276
289.6096096096096,0.9783464040466401,1.9566928080932802,0.06496078786007961,2.416297323400022e-05,0.002189522568569993
289.9299299299299,0.9775011904875974,1.9550023809751949,0.06749642853720746,2.6044851211675087e-05,0.0022759258024519294
290.25025025025025,0.976627543796051,1.953255087592102,0.07011736861184704,2.8065546765255403e-05,0.0023653111671601535
290.57057057057057,0.9757247686026949,1.9514495372053897,0.07282569419191555,3.0234603050316378e-05,0.002457757742780833
290.8908908908909,0.9747921679666538,1.9495843359333076,0.0756234961000387,3.2562157609575826e-05,0.0025533453609442
291.2112112112112,0.9738290444169169,1.9476580888338337,0.07851286674924929,3.5058974090845205e-05,0.002652154532399156
291.5315315315315,0.9728347010486713,1.9456694020973426,0.08149589685398614,3.7736475222364945e-05,0.002754266370355237
291.85185185185185,0.971808442673785,1.94361688534757,0.08457467197864493,4.060677706183106e-05,0.00285976250968333
292.17217217217217,0.9707495770243794,1.9414991540487587,0.0877512689268621,4.36827245330696e-05,0.0029687250220951367
292.4924924924925,0.9696574160080874,1.9393148320161748,0.09102775197573783,4.697792826185622e-05,0.003081236327453118
292.8128128128128,0.9685312770132622,1.9370625540265245,0.09440616896021335,5.050680271970731e-05,0.003197379101393481
293.13313313313313,0.967370484262039,1.934740968524078,0.09788854721388311,5.428460568172462e-05,0.0033172361794778253
293.45345345345345,0.9661743702087814,1.9323487404175628,0.10147688937365583,5.832747900168871e-05,0.003440890458123547
293.77377377377377,0.9649422769810861,1.9298845539621723,0.1051731690567414,6.265249070458421e-05,0.0035684247925959643
294.0940940940941,0.9636735578601211,1.9273471157202422,0.10897932641963673,6.72776783937076e-05,0.0036999218923816023
294.4144144144144,0.9623675787967114,1.9247351575934228,0.11289726360986575,7.222209396632666e-05,0.0038354642142951908
294.73473473473473,0.9610237199592006,1.922047439918401,0.11692884012239836,7.750584962871397e-05,0.003975133853708661
295.05505505505505,0.9596413773087415,1.919282754617483,0.12107586807377534,8.315016519816435e-05,0.004119012434324007
295.37537537537537,0.9582199641973187,1.9164399283946374,0.12534010740804394,8.917741667639726e-05,0.004267180996944533
