Model,30_VIOL_NL,100_VIOL_NL,200_VIOL_NL,400_VIOL_NL
NN,2829.886734130041,8884.754389107877,7881.696779757817,1623.898084602027
KKThPINN,11.875117636359601,25.44920400140953,40.540029772735096,12.57675305492543
