NN_Experiment_Error,KKThPINN_Experiment_Error
0.09606769645417775,0.07653905880065755
0.08679515235764323,0.07021944194716337
0.08939431079368555,0.0732273349104427
0.10390307472581772,0.07627446177210331
0.10416870749981813,0.07671419867710902
0.09606953370515901,0.06544134969506266
0.09979684468105822,0.07427417685852261
0.10188313755969863,0.07681195366954527
0.09266183588201217,0.07437797217585405
0.08418057492532659,0.07041541749991102
0.10735977899258654,0.07581409703172455
0.09024569458234662,0.075606908524208
0.08990292874045396,0.07799011617106423
0.11464442968004894,0.07297263528461982
0.09402642353233373,0.06458539783215352
0.08500167438840364,0.0712023073462922
0.08620655547611641,0.056958902379195424
0.09173487707291306,0.06626240010053888
0.09129523281896067,0.07335463531098392
0.08801237046994205,0.0743725257509942
0.10283134329807976,0.07218470897101131
0.10254537494808473,0.061521336537744165
0.0929268863773888,0.05912944187209095
0.09663177617508442,0.0788423023113612
0.08419778168395937,0.0644395641782464
0.09667679095850568,0.07084229871756506
0.09319756451912833,0.06985861994495204
0.10089370453224936,0.07140110799078252
0.09063475647393847,0.07561215259170345
0.10304896175731408,0.07183417417226508
0.11158262402911456,0.06772982306550118
0.10957365861634022,0.0769191062626221
0.08823565942070422,0.07321696543004531
0.0949735516506194,0.06631482357557367
0.08906560775860828,0.06545043587084046
0.10074646396707967,0.06785120693272136
0.09955789515605841,0.0789558153717221
0.09242976617730085,0.07019872295537317
0.08769334887657881,0.07172330930118263
0.07622379402177737,0.06420474983966007
0.08356688794587014,0.0749055753765455
0.10540750432924664,0.074623143647283
0.09116349444942405,0.06855985998991954
0.1022062461225776,0.06968848105595495
0.1003547496521592,0.07176213077660744
0.0951804030720872,0.07883301016172138
0.11351734923127052,0.07156607189272592
0.09868520655223038,0.07268979887701407
0.101072112974734,0.06349937904723812
0.11110920152567823,0.07924739258325708
