num_samples,run_name,model,rmse_total,violation,violation_original_nonlinear
100,20250924-231015_run01_NN,NN,0.10772384329519191,12273.44003914358,11134.171456044889
100,20250924-231026_run02_NN,NN,0.09155725397983021,4606.438234815826,4351.062314469485
100,20250924-231038_run03_NN,NN,0.15309206890983215,1199.5204560816867,1206.481737240458
100,20250924-231049_run04_NN,NN,0.12305181357227549,19879.608702390917,17250.85442926466
100,20250924-231101_run05_NN,NN,0.12264859861454334,15781.497499380039,14900.050893498788
100,20250924-231112_run06_NN,NN,0.10120786707741614,14433.532073310818,14409.14610427499
100,20250924-231123_run07_NN,NN,0.13198105394385937,1594.5314929535934,1754.0343064398864
100,20250924-231134_run08_NN,NN,0.12084369695842083,12078.520920141007,11539.44853696209
100,20250924-231146_run09_NN,NN,0.09824213256956388,8155.76207796696,8057.851558493161
100,20250924-231157_run10_NN,NN,0.07868369204058727,10474.362616680974,10380.552826273139
100,20250924-231209_run11_NN,NN,0.10102870099063672,4774.115375612228,4949.500960235365
100,20250924-231220_run12_NN,NN,0.10647582750596556,10509.486478362767,10017.318839326239
100,20250924-231232_run13_NN,NN,0.09627666187500528,16080.265516667883,13931.899703538134
100,20250924-231244_run14_NN,NN,0.11102249698007037,3066.4291692302995,3276.286036230791
100,20250924-231255_run15_NN,NN,0.13808521460943377,7122.287950293031,7566.856255585977
100,20250924-231306_run16_NN,NN,0.0918609662234606,13037.002832725768,12455.798459042438
100,20250924-231318_run17_NN,NN,0.1347132487698127,7281.9632439346715,7037.060270690607
100,20250924-231329_run18_NN,NN,0.12721960716836103,6378.374132227962,6332.414000529099
100,20250924-231341_run19_NN,NN,0.13007096605412763,7374.502694510206,6964.544984368616
100,20250924-231352_run20_NN,NN,0.09503607553897771,9134.241337382555,8664.828968878064
100,20250924-231403_run21_NN,NN,0.07342201517792647,2630.6729259911185,2645.4270589490716
100,20250924-231414_run22_NN,NN,0.13745118010251717,17502.224061925735,15864.525923620444
100,20250924-231426_run23_NN,NN,0.09757292237638952,2926.936100006946,2996.8565099363705
100,20250924-231437_run24_NN,NN,0.14024688403080363,19438.323451014752,17606.113538582158
100,20250924-231448_run25_NN,NN,0.12380984521561979,6400.645238143799,6351.855560612562
100,20250924-231500_run26_NN,NN,0.09279645216805597,9001.324412837537,8765.726050080259
100,20250924-231511_run27_NN,NN,0.10566328313949278,8053.795833059459,7376.307894145366
100,20250924-231522_run28_NN,NN,0.1251356424325514,9759.291009950306,8797.607351668565
100,20250924-231533_run29_NN,NN,0.10497719031824242,5258.788034685074,5357.125482864067
100,20250924-231545_run30_NN,NN,0.08867934310310169,17489.0368387416,17529.8952377438
100,20250924-231556_run31_NN,NN,0.14508313524627608,22564.2887230838,29948.679735336944
100,20250924-231607_run32_NN,NN,0.10681126038658752,10826.567952885796,10098.377679325922
100,20250924-231618_run33_NN,NN,0.1374703550578505,3773.8908264014353,4003.6161449245546
100,20250924-231629_run34_NN,NN,0.17121289069572249,13897.632686543866,14878.099437998017
100,20250924-231641_run35_NN,NN,0.08389431705731622,12525.457995766246,11238.86051245657
100,20250924-231652_run36_NN,NN,0.17164697309826155,766.0254923625115,872.9849181127391
100,20250924-231704_run37_NN,NN,0.08361151368960995,2294.589816258427,2256.2037507826053
100,20250924-231715_run38_NN,NN,0.09145983061590512,7581.50546923404,7184.251223313084
100,20250924-231726_run39_NN,NN,0.08692401526342795,8496.912036958558,8296.995368549968
100,20250924-231738_run40_NN,NN,0.09204322670781914,15150.226155036391,14235.944247715015
100,20250924-231749_run41_NN,NN,0.09919752424118437,6457.598183192944,6510.323318602581
100,20250924-231800_run42_NN,NN,0.128568993342334,2525.535216245926,2640.2678869723463
100,20250924-231812_run43_NN,NN,0.12046528582752762,20487.303090852834,19232.94952541721
100,20250924-231824_run44_NN,NN,0.07438894335212572,5019.311887542762,5238.831290082244
100,20250924-231835_run45_NN,NN,0.09891101322857812,8926.041994669778,8568.86843699387
100,20250924-231847_run46_NN,NN,0.15938067982572668,1575.8112169048854,1737.0555644364515
100,20250924-231858_run47_NN,NN,0.10847657898479611,7559.5088494209585,7915.154846121215
100,20250924-231909_run48_NN,NN,0.10457004348510614,1108.0219923764764,1093.4347768554012
100,20250924-231920_run49_NN,NN,0.11859301322723824,15149.858075875934,14902.596546524072
100,20250924-231931_run50_NN,NN,0.11716611204872072,3834.760129020826,3912.6209952834815
100,20250924-231948_run01_KKThPINN,KKThPINN,0.07485813627006697,0.0009057754284899633,12.411182118426542
100,20250924-232004_run02_KKThPINN,KKThPINN,0.06926271141432966,0.0008982808737593162,4.030194207881236
100,20250924-232020_run03_KKThPINN,KKThPINN,0.07605545512774553,0.0033933239047754873,6.248345280149733
100,20250924-232037_run04_KKThPINN,KKThPINN,0.0996131437718456,0.0009040625752973555,24.795237022038084
100,20250924-232053_run05_KKThPINN,KKThPINN,0.08613504180268963,0.0009047242024948221,25.67282914208235
100,20250924-232110_run06_KKThPINN,KKThPINN,0.08974597746732435,0.0009071178043719846,58.015379779758035
100,20250924-232126_run07_KKThPINN,KKThPINN,0.0947214265939972,0.0009037795512202365,11.970313686820596
100,20250924-232142_run08_KKThPINN,KKThPINN,0.0656336944891993,0.0011005088797767584,5.8108667540135075
100,20250924-232159_run09_KKThPINN,KKThPINN,0.11206041353963342,0.000898222239233637,9.617107453656216
100,20250924-232215_run10_KKThPINN,KKThPINN,0.06982347701995019,0.0009072365006340677,49.67011797526595
100,20250924-232231_run11_KKThPINN,KKThPINN,0.07890206963858705,0.0009050796747804846,13.29370783935028
100,20250924-232247_run12_KKThPINN,KKThPINN,0.07339587957792829,0.00340138579410193,74.88264491081654
100,20250924-232303_run13_KKThPINN,KKThPINN,0.07457134572948895,0.0009031201178119688,26.102169504061703
100,20250924-232320_run14_KKThPINN,KKThPINN,0.09166595605384201,0.0010894764636240686,27.098569126022884
100,20250924-232336_run15_KKThPINN,KKThPINN,0.07491301475157823,0.001122507046179888,63.88907775174898
100,20250924-232352_run16_KKThPINN,KKThPINN,0.06621287323692017,0.0008991049203680504,36.757401026675694
100,20250924-232408_run17_KKThPINN,KKThPINN,0.07020762237071454,0.000901511579184347,7.455080145594739
100,20250924-232424_run18_KKThPINN,KKThPINN,0.0827937116363613,0.0009039685352753082,21.10556996734389
100,20250924-232441_run19_KKThPINN,KKThPINN,0.06112271597921071,0.0008925520780721508,4.85764758614611
100,20250924-232457_run20_KKThPINN,KKThPINN,0.08896039715580316,0.0009045802815129678,26.975266392924674
100,20250924-232513_run21_KKThPINN,KKThPINN,0.10664736704637423,0.0033967907968430744,10.313126659683917
100,20250924-232530_run22_KKThPINN,KKThPINN,0.08519992032996257,0.0009071169358076392,29.600795619925492
100,20250924-232546_run23_KKThPINN,KKThPINN,0.0992222811652323,0.0011119130568285687,12.465763176333166
100,20250924-232602_run24_KKThPINN,KKThPINN,0.08337273589034172,0.0009055511137098238,46.40866313580332
100,20250924-232618_run25_KKThPINN,KKThPINN,0.08578548982632764,0.0009005549113673197,6.9668149117705545
100,20250924-232635_run26_KKThPINN,KKThPINN,0.07626647188404781,0.0009056491342637266,72.9886481967853
100,20250924-232651_run27_KKThPINN,KKThPINN,0.10659197662259065,0.0009027127198139306,6.759084941240953
100,20250924-232707_run28_KKThPINN,KKThPINN,0.0760485136264491,0.003392566230777834,8.773365416728968
100,20250924-232723_run29_KKThPINN,KKThPINN,0.08078657731419772,0.000905036245906328,14.593220225635214
100,20250924-232739_run30_KKThPINN,KKThPINN,0.11760217186159236,0.003608628529029684,15.19208682664284
100,20250924-232755_run31_KKThPINN,KKThPINN,0.10352893396377229,0.003390683493833653,11.25263781543666
100,20250924-232812_run32_KKThPINN,KKThPINN,0.0682503670238237,0.0033966636265506736,24.195735081245388
100,20250924-232828_run33_KKThPINN,KKThPINN,0.07003723594930697,0.0009049671275979734,47.6588445067861
100,20250924-232844_run34_KKThPINN,KKThPINN,0.10599648237678162,0.0009005606266190361,7.953527330167139
100,20250924-232900_run35_KKThPINN,KKThPINN,0.07247908106712009,0.0008973535903483709,5.755469930809701
100,20250924-232916_run36_KKThPINN,KKThPINN,0.06226694851514519,0.0008916642211459491,129.21031473952587
100,20250924-232933_run37_KKThPINN,KKThPINN,0.10217513429371432,0.0009034145382369185,9.51726178131424
100,20250924-232949_run38_KKThPINN,KKThPINN,0.0780153403600025,0.0009038743077126737,21.842584940817726
100,20250924-233005_run39_KKThPINN,KKThPINN,0.0764142312603291,0.003395301538556335,8.948270816750869
100,20250924-233021_run40_KKThPINN,KKThPINN,0.07881060408395663,0.003398118297472226,53.85847412384617
100,20250924-233038_run41_KKThPINN,KKThPINN,0.07683977043370883,0.0009031582782778602,30.602784255477687
100,20250924-233054_run42_KKThPINN,KKThPINN,0.05119851657466098,0.001088094070379575,8.33975083041281
100,20250924-233110_run43_KKThPINN,KKThPINN,0.1030570037702624,0.0009035024419060678,4.818416428799099
100,20250924-233126_run44_KKThPINN,KKThPINN,0.10122541242562529,0.000905477293042245,31.06279119932413
100,20250924-233142_run45_KKThPINN,KKThPINN,0.06885080785883455,0.0033859770742946174,7.183068938357138
100,20250924-233158_run46_KKThPINN,KKThPINN,0.07871025789545,0.001078360921927729,4.817091759202662
100,20250924-233214_run47_KKThPINN,KKThPINN,0.08356389135566149,0.0009042172501231363,32.22742809543563
100,20250924-233231_run48_KKThPINN,KKThPINN,0.07750556635515148,0.0009004891420555383,25.859123393692485
100,20250924-233247_run49_KKThPINN,KKThPINN,0.07377232725098344,0.0008966135598377778,19.247949979848286
100,20250924-233303_run50_KKThPINN,KKThPINN,0.09672340300102797,0.0033980940962001285,53.388397341899264
200,20250925-001325_run01_NN,NN,0.022114322572601434,1302.5299327942191,1328.0564873299184
200,20250925-001341_run02_NN,NN,0.013737604443957895,1972.7356707715535,1988.1150595373995
200,20250925-001356_run03_NN,NN,0.07192546980387973,15760.063116621248,14153.538953465846
200,20250925-001411_run04_NN,NN,0.04822687313404596,5917.691930260305,5748.906815267025
200,20250925-001427_run05_NN,NN,0.03829882391827257,6961.05630774259,6799.610007265493
200,20250925-001443_run06_NN,NN,0.034651972428906844,1165.0183468452121,1183.3018022453728
200,20250925-001458_run07_NN,NN,0.038808938180520114,4804.284162861123,4655.798215235936
200,20250925-001513_run08_NN,NN,0.09777829150681303,22123.145368753525,18242.70036739179
200,20250925-001529_run09_NN,NN,0.05729936225899843,9512.654138073884,8982.920528174587
200,20250925-001545_run10_NN,NN,0.0890956465824131,22799.154000374856,19712.17294865903
200,20250925-001600_run11_NN,NN,0.03689203596018379,1554.0548883090469,1526.283367378948
200,20250925-001616_run12_NN,NN,0.056833763936933845,10843.889739218443,9912.079412919322
200,20250925-001631_run13_NN,NN,0.12856737676541818,29450.297736741064,22748.606768221896
200,20250925-001646_run14_NN,NN,0.03947536603143915,2002.41004872196,1996.333345452195
200,20250925-001702_run15_NN,NN,0.039459454644949064,2067.2100721725924,2183.1009729079146
200,20250925-001717_run16_NN,NN,0.094282133433953,21962.20083565391,18150.66565080338
200,20250925-001732_run17_NN,NN,0.05430406227769946,14674.579261944886,13351.758376324442
200,20250925-001748_run18_NN,NN,0.025932755990518586,2594.7277533132283,2704.7362721160557
200,20250925-001803_run19_NN,NN,0.020229909088632616,1558.4941157902815,1559.3182606079147
200,20250925-001819_run20_NN,NN,0.08403221334821986,15392.452771389319,13565.167762937175
200,20250925-001834_run21_NN,NN,0.09295984352862036,21478.688771319004,17896.780577677757
200,20250925-001849_run22_NN,NN,0.06382576380084273,12320.81042367752,11335.472688090975
200,20250925-001904_run23_NN,NN,0.05091632685690218,7398.472966454097,7038.8472854124675
200,20250925-001918_run24_NN,NN,0.037260050833084285,1325.7043147591216,1355.9691522374912
200,20250925-001933_run25_NN,NN,0.02916390151285639,1079.2680207514995,1097.9822652816342
200,20250925-001948_run26_NN,NN,0.06376574472825071,12082.733822421937,11334.87678450773
200,20250925-002004_run27_NN,NN,0.07253951155461377,8704.876199788565,8175.894585600375
200,20250925-002020_run28_NN,NN,0.06234648855751434,11489.884007706341,10485.711243951671
200,20250925-002035_run29_NN,NN,0.08200331931283913,12991.959781127742,11727.96103718562
200,20250925-002050_run30_NN,NN,0.040051983560644856,3917.471765440326,3991.828586608513
200,20250925-002105_run31_NN,NN,0.03166478891424954,3750.738096408273,3755.761561714679
200,20250925-002120_run32_NN,NN,0.02286526588854849,5635.159964721327,5512.391819425549
200,20250925-002136_run33_NN,NN,0.0638434308888204,10343.373054132191,9524.898782503897
200,20250925-002151_run34_NN,NN,0.0350353066115937,1533.9497734908146,1598.199742772112
200,20250925-002206_run35_NN,NN,0.035636752300221716,4031.8603103611986,4290.9577568019995
200,20250925-002221_run36_NN,NN,0.06917214595624933,11625.851371949582,10779.564256320147
200,20250925-002235_run37_NN,NN,0.061349396460248534,6885.59077857043,6521.548662427765
200,20250925-002250_run38_NN,NN,0.03488449344235245,1865.164770510932,1961.197913150692
200,20250925-002305_run39_NN,NN,0.05267751477280191,719.5996334895875,731.6210537755991
200,20250925-002320_run40_NN,NN,0.06300188122621232,12474.043441621207,11690.5681737108
200,20250925-002335_run41_NN,NN,0.019187293056093763,1621.6458611034298,1699.440464488914
200,20250925-002350_run42_NN,NN,0.05544435469701051,5525.820352523097,5370.750190004616
200,20250925-002405_run43_NN,NN,0.08171329574756972,18164.372459625018,15558.515583371629
200,20250925-002420_run44_NN,NN,0.0613054145575537,16322.169956124315,14722.413469313562
200,20250925-002435_run45_NN,NN,0.017753622669533196,2072.1202802557473,2026.753681396469
200,20250925-002450_run46_NN,NN,0.071221610185739,5897.707423305476,6357.480471856848
200,20250925-002505_run47_NN,NN,0.07771359777755031,16101.07630955663,14350.793174031953
200,20250925-002520_run48_NN,NN,0.059005866410515535,11686.606667171936,11040.77900634423
200,20250925-002536_run49_NN,NN,0.02267423249908487,1526.60384862491,1529.6973743483197
200,20250925-002551_run50_NN,NN,0.06904303480576603,11112.341987884576,10127.01026933524
200,20250925-002614_run01_KKThPINN,KKThPINN,0.07364309339862794,0.006399876633202965,12.084876053502038
200,20250925-002637_run02_KKThPINN,KKThPINN,0.035945482739947805,0.0063921258246790085,13.176068699555941
200,20250925-002700_run03_KKThPINN,KKThPINN,0.06626373437030317,0.006385597081750835,69.19958230885567
200,20250925-002723_run04_KKThPINN,KKThPINN,0.0582600825427873,0.006383091776175728,123.60551643173585
200,20250925-002746_run05_KKThPINN,KKThPINN,0.056742531987317546,0.006392591403615519,11.937235440385395
200,20250925-002810_run06_KKThPINN,KKThPINN,0.040003555397181007,0.006388211551503972,37.15357032916304
200,20250925-002833_run07_KKThPINN,KKThPINN,0.04314509850176234,0.01277009115335112,14.019336843790079
200,20250925-002857_run08_KKThPINN,KKThPINN,0.016353160506435677,0.006505686145731891,9.107002767368783
200,20250925-002920_run09_KKThPINN,KKThPINN,0.04814640289794956,0.006418435119460798,11.166643547896982
200,20250925-002944_run10_KKThPINN,KKThPINN,0.043835041616912936,0.006403418115122318,32.10776062333388
200,20250925-003007_run11_KKThPINN,KKThPINN,0.02159230343736307,0.006413138215705706,17.91788756158435
200,20250925-003031_run12_KKThPINN,KKThPINN,0.04411015134427373,0.012763121094981872,18.710179531421513
200,20250925-003054_run13_KKThPINN,KKThPINN,0.0424195993407707,0.012758588360675602,71.52010582761262
200,20250925-003118_run14_KKThPINN,KKThPINN,0.027786032398885517,0.0063956478764811,13.820351861568469
200,20250925-003141_run15_KKThPINN,KKThPINN,0.03734063672981959,0.012769999824844802,8.590354689200579
200,20250925-003205_run16_KKThPINN,KKThPINN,0.06769535996187183,0.006384765510596492,12.63455267614295
