,rmse_total,rmse_inner,violation,cb1_cb2_l2,cb1_weight,cb2_weight
mean,0.00514310555157452,0.00514310555157452,0.006511957346548469,0.00466981918824689,0.29999999999999993,0.7
std,0.0018543304251746786,0.0018543304251746786,0.003610814761699417,0.002360918696265575,5.851389114294502e-17,0.0
min,0.0025766043144841,0.0025766043144841,0.0023723792323211,0.0021303698037813,0.3,0.7
max,0.0083307215947073,0.0083307215947073,0.0136214935660988,0.0095743181236876,0.3,0.7
