,rmse_total,rmse_inner,violation,violation_g1,violation_g2,cb1_cb2_l2,ca_weight,cb1_weight,cb2_weight,cc_weight
mean,0.00414669033711307,0.00414669033711307,0.0010831060799264798,3.9956389387617105e-12,0.0021662121558573603,0.00249919869286549,0.2,0.4,0.0,0.4
std,0.0010228977262025417,0.0010228977262025417,0.00019652797108261034,3.7549101289899765e-15,0.0003930559421650049,0.00046141224269772527,0.0,0.0,0.0,0.0
min,0.0013781528870245,0.0013781528870245,0.000606620412617,3.986998231564343e-12,0.0012132408212372,0.0013943482868859,0.2,0.4,0.0,0.4
max,0.0049730428672737,0.0049730428672737,0.0013150402078583,3.999018378347025e-12,0.0026300804117182,0.0030704629469243,0.2,0.4,0.0,0.4
