,rmse_total,rmse_inner,violation,cb1_cb2_l2,cb1_weight,cb2_weight
mean,0.004008779677056869,0.004008779677056869,0.00604592542437621,0.0038254050646594207,0.1,0.9
std,0.001565287036900082,0.001565287036900082,0.0030329823794492867,0.0016539054025805217,0.0,0.0
min,0.0021114302028113,0.0021114302028113,0.002647565865375,0.0018048991379975,0.1,0.9
max,0.0068308025637852,0.0068308025637852,0.011020436249812,0.0064592240776917,0.1,0.9
