,rmse_total,rmse_inner,violation,cb1_cb2_l2,cb1_weight,cb2_weight
mean,0.0037069564448172507,0.0037069564448172507,0.0068266096622045195,0.004522830938690671,0.0,1.0
std,0.001642325184986456,0.001642325184986456,0.00382399252200184,0.002135121253036667,0.0,0.0
min,0.0018447709084151,0.0018447709084151,0.0034337034067191,0.0025323113110559,0.0,1.0
max,0.0067871218577858,0.0067871218577858,0.0163770444746434,0.0091696458365797,0.0,1.0
