,rmse_total,rmse_inner,violation,violation_g1,violation_g2,cb1_cb2_l2,ca_weight,cb1_weight,cb2_weight,cc_weight,violation_max_any_constraint,violation_max_sample_mean,violation_g1_max,violation_g2_max,worst_region_violation,worst_region_id
mean,0.00207631356957094,0.00207631356957094,0.00105451787399559,4.047348785483708e-12,0.002109035743943892,0.002753049179105012,0.0,0.19999999999999996,0.0,0.7999999999999998,0.007623775357560136,0.0038118876810564915,6.919300687968643e-12,0.007623775357560136,0.0038118740964076412,46.0
std,0.0007241980664460237,0.0007241980664460237,0.0004999291126628434,1.851332475389552e-14,0.0009998582253315908,0.0011839428671602808,0.0,5.607473066727768e-17,0.0,2.2429892266911074e-16,0.003482134377094406,0.0017410671887202064,6.053580781767905e-14,0.003482134377094406,0.001741079187549935,38.1741444713886
min,0.0009831829116922,0.0009831829116922,0.0003294532706557,4.009329574688231e-12,0.0006589065372646,0.0008957044715122,0.0,0.2,0.0,0.8,0.0024545406024252,0.0012272703026906,6.7545968818194516e-12,0.0024545406024252,0.0012272703026906,0.0
max,0.0038312925773693,0.0038312925773693,0.0026619784399401,4.0952003692901976e-12,0.0053239568758667,0.0065476074530665,0.0,0.2,0.0,0.8,0.0175515985078074,0.0087757992553016,7.05679958912242e-12,0.0175515985078074,0.0087757992553016,89.0
