,rmse_total,rmse_inner,violation,violation_g1,violation_g2,cb1_cb2_l2,ca_weight,cb1_weight,cb2_weight,cc_weight
mean,0.0025718283679262333,0.0025718283679262333,0.005648041782799133,0.010401786388832034,0.0008942971767661999,0.004137336275910866,0.3,0.20000000000000004,0.5,0.0
std,0.0005419474581286747,0.0005419474581286747,0.003698614656256747,0.006882631146524663,0.0005165647656444423,0.002869145106380364,0.0,3.3993498887762956e-17,0.0,0.0
min,0.0021390665595218,0.0021390665595218,0.0031846906330706,0.0058588808930402,0.0005105003731009,0.0022531479590466,0.3,0.2,0.5,-0.0
max,0.0031796744177826,0.0031796744177826,0.009901087280451,0.0183205498897625,0.0014816246711395,0.00743938158456,0.3,0.2,0.5,-0.0
