,rmse_total,rmse_inner,violation,cb1_cb2_l2,ca_weight,cb1_weight,cb2_weight,cc_weight
mean,0.0037152216656379704,0.0037152216656379704,0.00115078643717012,0.00263771992504859,0.1,0.4,0.0,0.5
std,0.000507537642004091,0.000507537642004091,0.000399271809478352,0.000911719983543666,0.0,0.0,0.0,0.0
min,0.0027486279327793,0.0027486279327793,0.0004408425898776,0.001031830770125,0.1,0.4,0.0,0.5
max,0.004151746159518,0.004151746159518,0.001672171692881,0.0038274397552047,0.1,0.4,0.0,0.5
