,rmse_total,rmse_inner,violation,cb1_cb2_l2,ca_weight,cb1_weight,cb2_weight,cc_weight
mean,0.00289901076945924,0.00289901076945924,0.00350444365293806,0.00836607221333288,0.2,0.5999999999999999,0.0,0.2
std,0.0006720290424838652,0.0006720290424838652,0.0015296700693489937,0.0032769723869721236,0.0,1.1702778228589004e-16,0.0,0.0
min,0.0021301115686271,0.0021301115686271,0.0015460454069363,0.0038023221544648,0.2,0.6,0.0,0.2
max,0.0042501186380357,0.0042501186380357,0.0053579813690828,0.0125662193686496,0.2,0.6,0.0,0.2
