model_id,rmse_mean,rmse_std,violation_mean,violation_std,violation_g1_mean,violation_g2_mean,cb1_cb2_l2_mean,ca_weight,cb1_weight,cb2_weight,cc_weight
cbpen_lam1000p0_ca0p0_cb10p2_cb20p0_cc0p8,0.1207110596311883,0.0285438519518776,0.0002998883977618,0.0001635113486005,1.981563392208653e-12,0.000599776793542,0.0009395279003593,0.0,0.2,0.0,0.8000000000000002
cbpen_lam100p0_ca0p0_cb10p2_cb20p0_cc0p8,0.0355874731204382,0.0214885376635678,0.0004408179151323,2.094412920303319e-05,4.2158059450810486e-12,0.0008816358260489,0.0011134686119387,0.0,0.2,0.0,0.8000000000000002
cbpen_lam0p0_ca0p0_cb10p2_cb20p0_cc0p8,0.0015218972507494,0.0007002699540975,0.0006209243876773,0.000202714663734,4.045684752815436e-12,0.0012418487713091,0.0017485813748202,0.0,0.2,0.0,0.8000000000000002
cbpen_lam10p0_ca0p0_cb10p2_cb20p0_cc0p8,0.0101413435277413,0.0066461849575198,0.0006713906113189,0.0002822784416741,4.158988629678261e-12,0.0013427812184788,0.0019059485052644,0.0,0.2,0.0,0.8000000000000002
cbpen_lam1p0_ca0p0_cb10p2_cb20p0_cc0p8,0.0033957203563962,0.0004050147960592,0.0007877924274585,0.0002356484345431,4.047310436530066e-12,0.0015755848508698,0.0020515165870226,0.0,0.2,0.0,0.8000000000000002
cbpen_lam0p1_ca0p0_cb10p2_cb20p0_cc0p8,0.002477171817819,0.0005165197034916,0.0009107864783195,0.0001224498188083,4.047379164622066e-12,0.0018215729525918,0.0023549293566136,0.0,0.2,0.0,0.8000000000000002
