,rmse_total,rmse_inner,violation,violation_g1,violation_g2,cb1_cb2_l2,ca_weight,cb1_weight,cb2_weight,cc_weight
mean,0.00221190147468515,0.00221190147468515,0.0011036679015228401,4.0496242272235e-12,0.0022073357989960997,0.0026890060634908895,0.0,0.29999999999999993,0.0,0.7
std,0.001118772300084115,0.001118772300084115,0.000735997871113674,1.3204425383165557e-14,0.001471995742224892,0.0016050714402171852,0.0,5.851389114294502e-17,0.0,0.0
min,0.000986996451459,0.000986996451459,0.000452761757616,4.022473822283347e-12,0.0009055235111721,0.0013594327900581,0.0,0.3,0.0,0.7
max,0.0047872786465351,0.0047872786465351,0.0027870373735302,4.065904359227902e-12,0.0055740747429978,0.0061481027232278,0.0,0.3,0.0,0.7
