,rmse_total,rmse_inner,violation,violation_g1,violation_g2,cb1_cb2_l2,ca_weight,cb1_weight,cb2_weight,cc_weight
mean,0.0025459993069322337,0.0025459993069322337,0.003379910626058533,0.005434602496323433,0.0013252187557936,0.0035963249721963336,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.6999999999999998
std,0.0007769407638472706,0.0007769407638472706,0.0021180735470933605,0.003465828294603961,0.0007746567504195108,0.0019762668810715685,1.6996749443881478e-17,1.6996749443881478e-17,1.6996749443881478e-17,1.3597399555105182e-16
min,0.0016817025384315,0.0016817025384315,0.0016384121671749,0.0026456504337747,0.0006311739005752,0.0014236918630767,0.1,0.1,0.1,0.7
max,0.0031864270048385,0.0031864270048385,0.0057378124667599,0.0093146922470404,0.0021609326864793,0.005287108080908,0.1,0.1,0.1,0.7
