,rmse_total,rmse_inner,violation,violation_g1,violation_g2,cb1_cb2_l2,ca_weight,cb1_weight,cb2_weight,cc_weight
mean,0.0066780905484231,0.0066780905484231,0.041939070854782566,0.08387814170956508,1.3316067825117204e-16,0.023385441831373366,0.8000000000000002,0.0,0.20000000000000004,0.0
std,0.0004028613787445907,0.0004028613787445907,0.011369246429096556,0.022738492858193037,2.7867458096720494e-17,0.006523000961521864,1.3597399555105182e-16,0.0,3.3993498887762956e-17,0.0
min,0.0064086380777341,0.0064086380777341,0.0289636270769062,0.0579272541538124,1.0110959688550531e-16,0.0158953657354288,0.8,0.0,0.2,-0.0
max,0.0071412126044074,0.0071412126044074,0.0501554218077197,0.1003108436154392,1.51664395328258e-16,0.0278186743298718,0.8,0.0,0.2,-0.0
