,rmse_total,rmse_inner,violation,cb1_cb2_l2,cb1_weight,cb2_weight
mean,0.00523559500877042,0.00523559500877042,0.00541945174461265,0.00470918169869852,0.5,0.5
std,0.0026278075055446324,0.0026278075055446324,0.004265667848583199,0.00344141919869965,0.0,0.0
min,0.0018572683750046,0.0018572683750046,0.0019206212242843,0.0017654328105874,0.5,0.5
max,0.0114117005693989,0.0114117005693989,0.016942421335356,0.0138398306530954,0.5,0.5
