,rmse_total,rmse_inner,violation,cb1_weight,cb2_weight
mean,0.00203232700926523,0.00352009363764193,2.020966950336664e-12,0.5,0.5
std,0.0008757107572929047,0.0015167755243659321,7.53915612262027e-15,0.0,0.0
min,0.0009852841645941,0.0017065622329701,2.004643475027125e-12,0.5,0.5
max,0.0030557589134404,0.0052927296937603,2.031934640386471e-12,0.5,0.5
