,rmse_total,rmse_inner,violation,violation_g1,violation_g2,cb1_cb2_l2,ca_weight,cb1_weight,cb2_weight,cc_weight
mean,0.0031940426379574002,0.0031940426379574002,0.0045561605384960005,0.007457404621242533,0.0016549164557495,0.004283507044302766,0.10000000000000002,0.20000000000000004,0.20000000000000004,0.5
std,0.0009497945735969167,0.0009497945735969167,0.0005181500497824973,0.0008499277194426398,0.00021402513771414565,0.000617940805030057,1.6996749443881478e-17,3.3993498887762956e-17,3.3993498887762956e-17,0.0
min,0.0022912355595553,0.0022912355595553,0.0040420544453598,0.0066756084060441,0.0014085004846756,0.0037118074511245,0.1,0.2,0.2,0.5
max,0.0041847181553146,0.0041847181553146,0.0050782620105259,0.0083620858900129,0.0017944381310389,0.0049391142206574,0.1,0.2,0.2,0.5
