model_id,rmse_mean,rmse_std,violation_mean,violation_std,cb1_cb2_l2_mean,ca_weight,cb1_weight,cb2_weight,cc_weight
grid_ca0p0_cb10p2_cb20p0_cc0p8,0.0013696640906409,0.0006353492152091,0.0008246427917318,0.0005574595090016,0.002099242546676,0.0,0.2,0.0,0.8000000000000002
grid_ca0p1_cb10p1_cb20p0_cc0p8,0.0021155156910993,0.0004252307535129,0.0009148637495383,0.0001730050173303,0.0024339785003998,0.1,0.1,0.0,0.8000000000000002
grid_ca0p0_cb10p3_cb20p0_cc0p7,0.0025447144176859,0.0005090156988554,0.0009804119724659,0.0002581275998775,0.0025473295073938,0.0,0.3,0.0,0.6999999999999998
grid_ca0p0_cb10p1_cb20p0_cc0p9,0.0019073829736639,0.0010426755872966,0.001057238559251,0.0007358475540757,0.0031916136648844,0.0,0.1,0.0,0.9
grid_ca0p2_cb10p4_cb20p1_cc0p3,0.0015355489385442,0.0005621978263224,0.001068830740162,0.0002405334424637,0.0018819620131504,0.2,0.4000000000000001,0.1,0.3
grid_ca0p2_cb10p5_cb20p0_cc0p3,0.0020269169107847,0.0010528723380204,0.001169285441358,0.0004683407246698,0.0033305871822367,0.2,0.5,0.0,0.3
grid_ca0p1_cb10p2_cb20p0_cc0p7,0.0021652079411908,0.0011408546430762,0.0012209218356011,0.0007350500886813,0.0029613821989204,0.1,0.2,0.0,0.6999999999999998
grid_ca0p1_cb10p3_cb20p0_cc0p6,0.0029003445050624,0.0004482366310024,0.0012918012017144,0.0001206888030113,0.0031595639570638,0.1,0.3,0.0,0.6
grid_ca0p0_cb10p2_cb20p2_cc0p6,0.0017096537516663,0.0008126924676171,0.001346027374401,0.0003512670690702,0.0014794449570296,0.0,0.2,0.2,0.6
grid_ca0p1_cb10p5_cb20p0_cc0p4,0.0025491948819076,0.0011024454684416,0.0013485346045942,0.0004308077400112,0.0033233098568857,0.1,0.5,0.0,0.4000000000000001
grid_ca0p0_cb10p5_cb20p0_cc0p5,0.0026580691419709,0.0007748287696666,0.0013580571189982,0.0005662094155562,0.0030951888216157,0.0,0.5,0.0,0.5
grid_ca0p1_cb10p4_cb20p0_cc0p5,0.0020490193690951,0.0008542491129151,0.0014304574810463,0.0009660523512358,0.0034777800829246,0.1,0.4000000000000001,0.0,0.5
grid_ca0p2_cb10p2_cb20p0_cc0p6,0.0025367309392777,0.0004239724301108,0.0015075279245421,0.0007757129256925,0.0037840108956758,0.2,0.2,0.0,0.6
grid_ca0p4_cb10p1_cb20p0_cc0p5,0.0027537128990247,0.0013497951151411,0.0016033513213869,0.0008791468040699,0.0036305662322818,0.4000000000000001,0.1,0.0,0.5
grid_ca0p0_cb10p2_cb20p1_cc0p7,0.001706332619457,0.0007373035038487,0.0016263589215727,0.0004282650865138,0.0020691954190063,0.0,0.2,0.1,0.6999999999999998
grid_ca0p1_cb10p2_cb20p1_cc0p6,0.0017440727000709,0.0004461104170009,0.0016814863681769,0.0008146785210014,0.0018589422167796,0.1,0.2,0.1,0.6
grid_ca0p3_cb10p3_cb20p1_cc0p3,0.0014710375827611,0.0004827950458971,0.0017025148423991,0.000922508120967,0.0023106153861263,0.3,0.3,0.1,0.3
grid_ca0p0_cb10p4_cb20p0_cc0p6,0.0029220936672317,0.0011193215795084,0.0017508313750311,0.0008172650317958,0.0039971686771185,0.0,0.4000000000000001,0.0,0.6
