,rmse_total,rmse_inner,violation,cb1_cb2_l2,ca_weight,cb1_weight,cb2_weight,cc_weight
mean,0.0032598317503937197,0.0032598317503937197,0.00433001454690057,0.010008821828207351,0.4,0.4,0.0,0.2
std,0.0013886910317929611,0.0013886910317929611,0.002780241460778885,0.006454854841387793,0.0,0.0,0.0,0.0
min,0.0012698071735073,0.0012698071735073,0.0010501239696808,0.0024857333891082,0.4,0.4,0.0,0.2
max,0.0053406811215983,0.0053406811215983,0.0089893852140666,0.0209094185953355,0.4,0.4,0.0,0.2
