,rmse_total,rmse_inner,violation,violation_g1,violation_g2,cb1_cb2_l2,ca_weight,cb1_weight,cb2_weight,cc_weight
mean,0.003268127083104567,0.003268127083104567,0.008902978612201967,0.0168583908256272,0.0009475663987767667,0.0055593016944652,0.10000000000000002,0.10000000000000002,0.4000000000000001,0.4000000000000001
std,0.0010244115630424642,0.0010244115630424642,0.003529389879193989,0.006715362137738863,0.000345555628928568,0.0018577626775154816,1.6996749443881478e-17,1.6996749443881478e-17,6.798699777552591e-17,6.798699777552591e-17
min,0.0022324895710902,0.0022324895710902,0.0058547643126038,0.0110299594474356,0.000679569177772,0.004005461748727,0.1,0.1,0.4,0.4
max,0.0042809309482581,0.0042809309482581,0.0127697093141645,0.0242018422719683,0.0013375763563607,0.0076170293161406,0.1,0.1,0.4,0.4
