,rmse_total,rmse_inner,violation,violation_g1,violation_g2,cb1_cb2_l2,ca_weight,cb1_weight,cb2_weight,cc_weight,violation_max_any_constraint,violation_max_sample_mean,violation_g1_max,violation_g2_max,worst_region_violation,worst_region_id
mean,0.0018452763641673548,0.0018452763641673548,0.0009612516088178299,4.047184759944525e-12,0.0019225032135885146,0.002525271450082525,0.0,0.20000000000000004,0.0,0.8000000000000002,0.007716704382208251,0.0038583521935721303,6.947487030117827e-12,0.007716704382208251,0.0038583521935721303,39.3
std,0.0007916979895301928,0.0007916979895301928,0.00041856805564026916,1.5428572927833864e-14,0.0008371361112846794,0.0010908537560169519,0.0,2.8476619731297836e-17,0.0,1.1390647892519134e-16,0.0037629274968598745,0.0018814637487399473,7.555065986692122e-14,0.0037629274968598745,0.0018814637487399473,40.38511971923374
min,0.0008316113661055,0.0008316113661055,0.0004981614710788,4.014753807179972e-12,0.0009963229381331,0.0013760281528895,0.0,0.2,0.0,0.8,0.0030564754928394,0.0015282377486703,6.788569706372982e-12,0.0030564754928394,0.0015282377486703,0.0
max,0.003829134392819,0.003829134392819,0.0023757049947224,4.075391809735659e-12,0.0047514099854301,0.0060123116660715,0.0,0.2,0.0,0.8,0.0162986545213758,0.0081493272640821,7.060130258196296e-12,0.0162986545213758,0.0081493272640821,89.0
