,rmse_total,rmse_inner,violation,cb1_cb2_l2,ca_weight,cb1_weight,cb2_weight,cc_weight
mean,0.00207250815073967,0.00207250815073967,0.00159360482123437,0.00399065902294038,0.2,0.4,0.0,0.4
std,0.0011702121395406266,0.0011702121395406266,0.0016135868598355855,0.003627856794652214,0.0,0.0,0.0,0.0
min,0.0011809679999793,0.0011809679999793,0.0004070276599407,0.001164747134597,0.2,0.4,0.0,0.4
max,0.0050428830095205,0.0050428830095205,0.0057858779514238,0.0133286333974496,0.2,0.4,0.0,0.4
