,rmse_total,rmse_inner,violation,cb1_cb2_l2,cb1_weight,cb2_weight
mean,0.0047328860853542995,0.0047328860853542995,0.00282266476685735,0.0050359734679140105,0.9,0.1
std,0.001394051895052358,0.001394051895052358,0.0012593289814952417,0.0019436136140332017,0.0,0.0
min,0.0025156469261193,0.0025156469261193,0.0015749165915816,0.0028672471936694,0.9,0.1
max,0.007450411710842,0.007450411710842,0.0058445415065325,0.0096032528280369,0.9,0.1
