,rmse_total,rmse_inner,violation,violation_g1,violation_g2,cb1_cb2_l2,ca_weight,cb1_weight,cb2_weight,cc_weight
mean,0.0018387721969524331,0.0018387721969524331,0.0043390453555628,0.0082188988929958,0.00045919181812973335,0.002800654841467,0.0,0.10000000000000002,0.4000000000000001,0.5
std,0.0006583394039243692,0.0006583394039243692,0.001360313209072677,0.0025690144420089972,0.0001518648169506045,0.0008244353979904209,0.0,1.6996749443881478e-17,6.798699777552591e-17,0.0
min,0.0010827711230578,0.0010827711230578,0.0028318709236106,0.0053753139809361,0.0002884278662851,0.0018559208706113,0.0,0.1,0.4,0.5
max,0.0022857477508415,0.0022857477508415,0.0054757395416266,0.0103723701304459,0.0005791089528072,0.0033745206874453,0.0,0.1,0.4,0.5
