,rmse_total,rmse_inner,violation,violation_g1,violation_g2,cb1_cb2_l2,ca_weight,cb1_weight,cb2_weight,cc_weight
mean,0.0033957203563962997,0.0033957203563962997,0.0007877924274585,4.047310436530066e-12,0.0015755848508698003,0.0020515165870226,0.0,0.20000000000000004,0.0,0.8000000000000002
std,0.00040501479605927225,0.00040501479605927225,0.00023564843454312927,8.159481568566717e-15,0.00047129686908474374,0.0006312956038489168,0.0,3.3993498887762956e-17,0.0,1.3597399555105182e-16
min,0.0031347973638745,0.0031347973638745,0.0006215651571422,4.038915035753377e-12,0.0012431303102456,0.0016296843211445,0.0,0.2,0.0,0.8
max,0.0038623014429923,0.0038623014429923,0.0010574712138508,4.055211523721981e-12,0.0021149424236539,0.0027772892961429,0.0,0.2,0.0,0.8
