,rmse_total,rmse_inner,violation,cb1_weight,cb2_weight
mean,0.0029161356436639397,0.004935012937498739,2.023515259122874e-12,0.75,0.25
std,0.0014482802494547547,0.0024364333697619836,8.964158343807288e-15,0.0,0.0
min,0.0014222724790953,0.002374658792966,2.0147583997979067e-12,0.75,0.25
max,0.0060287922166686,0.0100157875856857,2.0388844382665133e-12,0.75,0.25
