,rmse_total,rmse_inner,violation,violation_g1,violation_g2,cb1_cb2_l2,ca_weight,cb1_weight,cb2_weight,cc_weight
mean,0.0021894385835311697,0.0021894385835311697,0.00106725461592273,4.0372548558233385e-12,0.00213450922780827,0.0027033944581003897,0.0,0.2,0.0,0.8
std,0.0009578480654127168,0.0009578480654127168,0.0005178024257734005,1.798910310352071e-14,0.001035604851551402,0.0011351827296839756,0.0,0.0,0.0,0.0
min,0.0006667711575084,0.0006667711575084,0.0003911946467422,4.012997275751725e-12,0.0007823892894397,0.0010721555513131,0.0,0.2,0.0,0.8
max,0.0041831753271682,0.0041831753271682,0.0019835119370684,4.065298692917147e-12,0.0039670238701022,0.0047552220135109,0.0,0.2,0.0,0.8
