,rmse_total,rmse_inner,violation,violation_g1,violation_g2,cb1_cb2_l2,ca_weight,cb1_weight,cb2_weight,cc_weight
mean,0.003084703581800167,0.003084703581800167,0.006013976595908633,0.0063234619675987995,0.0057044912242185004,0.008796101756404632,0.4000000000000001,0.4000000000000001,0.10000000000000002,0.10000000000000002
std,0.0022535814382760614,0.0022535814382760614,0.00594887561814548,0.00635206153808721,0.005545911809618235,0.008178669791942317,6.798699777552591e-17,6.798699777552591e-17,1.6996749443881478e-17,1.6996749443881478e-17
min,0.0007225259991607,0.0007225259991607,0.0007013414434998,0.0006243082194287,0.0007783746675709,0.0017868530149757,0.4,0.4,0.1,0.1
max,0.0052111584926731,0.0052111584926731,0.0124413751740551,0.0131715911671744,0.0117111591809359,0.0177819179342184,0.4,0.4,0.1,0.1
