,rmse_total,rmse_inner,violation,cb1_cb2_l2,cb1_weight,cb2_weight
mean,0.00448070774667426,0.00448070774667426,0.00394387255529167,0.00472269079332803,0.7,0.29999999999999993
std,0.0020691805179539864,0.0020691805179539864,0.0022228300652604293,0.002745147154352269,0.0,5.851389114294502e-17
min,0.0019239627840359,0.0019239627840359,0.0014698438666588,0.0018047908790302,0.7,0.3
max,0.0075222406026198,0.0075222406026198,0.0073638739911129,0.0086311136247393,0.7,0.3
