,rmse_total,rmse_inner,violation,cb1_cb2_l2,cb1_weight,cb2_weight
mean,0.0050822281999474,0.0050822281999474,0.00254593668992003,0.00627190383605329,1.0,0.0
std,0.0023942694207787244,0.0023942694207787244,0.0014181298095454374,0.003515187349637381,0.0,0.0
min,0.0022507114348482,0.0022507114348482,0.0012817268670587,0.0034732855268775,1.0,0.0
max,0.0108752110831629,0.0108752110831629,0.0061573758101684,0.0154027071760951,1.0,0.0
