,rmse_total,rmse_inner,violation,cb1_cb2_l2,ca_weight,cb1_weight,cb2_weight,cc_weight
mean,0.0032572191848402503,0.0032572191848402503,0.004897813616615889,0.00433949973665528,0.25,0.25,0.25,0.25
std,0.0011481190347944177,0.0011481190347944177,0.0017989463765237137,0.0015539778475112422,0.0,0.0,0.0,0.0
min,0.0017349783622315,0.0017349783622315,0.0017738267907548,0.0017192087595329,0.25,0.25,0.25,0.25
max,0.0054972711911132,0.0054972711911132,0.0081376344603007,0.0072256835947839,0.25,0.25,0.25,0.25
