,rmse_total,rmse_inner,violation,cb1_cb2_l2,ca_weight,cb1_weight,cb2_weight,cc_weight
mean,0.0027053121877860502,0.0027053121877860502,0.00767822098886191,0.0049314690187745695,0.2,0.1,0.5,0.2
std,0.001414853017037596,0.001414853017037596,0.005135973910790092,0.002966258253989824,0.0,0.0,0.0,0.0
min,0.0014984658772727,0.0014984658772727,0.0025750507517172,0.0014945076490948,0.2,0.1,0.5,0.2
max,0.0052202240125841,0.0052202240125841,0.0178086707503598,0.0101609667403184,0.2,0.1,0.5,0.2
