,rmse_total,rmse_inner,violation,cb1_cb2_l2,ca_weight,cb1_weight,cb2_weight,cc_weight
mean,0.0027429865351189598,0.0027429865351189598,0.0037183071829509197,0.006304626430942409,0.29999999999999993,0.4,0.05,0.25
std,0.001032388694492162,0.001032388694492162,0.0019946749420870933,0.0033860162797402235,5.851389114294502e-17,0.0,0.0,0.0
min,0.0016670021046138,0.0016670021046138,0.0016908552566146,0.002751895488323,0.3,0.4,0.05,0.25
max,0.0046571762511954,0.0046571762511954,0.007913539915092,0.0136058605021207,0.3,0.4,0.05,0.25
