,rmse_total,rmse_inner,violation,cb1_cb2_l2,ca_weight,cb1_weight,cb2_weight,cc_weight
mean,0.00255935636417352,0.00255935636417352,0.003482209264936589,0.0053673006979893505,0.2,0.5,0.1,0.2
std,0.0010542477052716134,0.0010542477052716134,0.001966951195805092,0.0028517382204455892,0.0,0.0,0.0,0.0
min,0.0013023572415381,0.0013023572415381,0.0014784663191526,0.0022174743434173,0.2,0.5,0.1,0.2
max,0.0038924827766202,0.0038924827766202,0.0064919140640616,0.0095944297909109,0.2,0.5,0.1,0.2
