NN_Experiment_RMSE,NN_Experiment_VIOL,KKThPINN_Experiment_RMSE,KKThPINN_Experiment_VIOL
0.01187927726663967,1027.5380059676806,0.01082276997838985,2.9413638191755354e-12
0.012790278306542576,1630.6120809827512,0.015722097809805945,3.2670213756524903e-12
0.013058773066472287,2452.6332401244113,0.01201253831711242,3.4084041145021614e-12
0.014835525791653311,1730.8733320489737,0.06591891936682646,3.166568396384406e-12
0.028215430120186877,1387.2825927380727,0.009999740109872316,3.1066607619756326e-12
0.028874801131057896,2321.956309406222,0.011077829254745174,2.7528007651156374e-12
0.011707624485045724,950.7151958966531,0.009253852188485283,2.7634269872400807e-12
0.013746224524737297,1331.4679828447286,0.011478447484018736,4.594645497402183e-12
0.012175328176012181,769.7053109011188,0.015749513790740216,4.513379947557183e-12
0.017609205445163274,384.9133201818728,0.012625979857219471,3.7707392763763895e-12
0.015271162741251685,1518.0331763669408,0.01214118732055676,3.2804120531082504e-12
0.01789841366901901,1901.7646495805438,0.011367719591114435,3.6174258033483397e-12
0.00968054897154698,226.1058107798239,0.04177082701671638,3.012623484011101e-12
0.010241215189503857,915.5866464821826,0.11209457487064602,3.756706057345127e-12
0.015485967852109865,630.0902640875081,0.012131814180166171,3.942417226010519e-12
0.011751641139839274,1144.7609282389571,0.02723524240532691,4.121787633426521e-12
0.011279946972614996,752.536299689601,0.035453336923629265,3.4564962003713616e-12
0.007921004644412102,1523.0480396321286,0.05788318699970087,4.040912049418921e-12
0.009200583534758009,1404.0846793217224,0.011171113016299423,4.279882004354363e-12
0.013454729378351578,2222.9523237716476,0.011655055327998116,3.931048542238358e-12
0.023831315116077032,1558.4172125126456,0.010407392544918384,3.309008622665033e-12
0.011533205217001597,783.8229811172226,0.009433427197243417,2.3536964044446053e-12
0.012650052024768241,1683.6952076530972,0.010550093184637102,3.819550231654034e-12
0.02144372613278606,1061.3217999700917,0.013750300292516348,4.198891234707958e-12
0.012393847512332893,401.76197564421534,0.009294150297828622,3.830502581791961e-12
0.010743587586740695,1422.9526878445745,0.01301114401169342,2.7411295455692654e-12
0.009409807143884204,721.3559378237921,0.015588547723264701,3.4723904307476517e-12
0.01413290740760665,2298.5632254539437,0.017155952051574334,3.444455831669302e-12
0.011052668957504475,1005.4548107792313,0.01151564140338987,4.69577848827285e-12
0.008550958475179431,482.31603658145013,0.008837877434767473,3.737188336572217e-12
0.009478695505344456,803.5978099643376,0.011013968916949947,3.1383673437801464e-12
0.011491036012199201,811.1955803825956,0.05327904014680298,3.6244188206246974e-12
0.01372924317490075,1632.8638702822896,0.012617489695873329,3.378501645112664e-12
0.011694391851601387,1081.3771341475035,0.01072177544252319,3.3599970028497238e-12
0.0687744407867489,8700.491475980887,0.011861703349510172,3.994508890325932e-12
0.021498399615881743,971.4495142557516,0.011411501496839121,3.436981255156013e-12
0.011088629640496788,1330.6492518738573,0.009570634978853711,4.001803055597719e-12
0.010780438994634017,1744.3579867633257,0.012059236155400332,3.696104533545963e-12
0.01172872323544367,668.413721030228,0.061845462343356854,4.313338575201442e-12
0.026072455125901204,2796.3109231074377,0.011716311256133375,2.7746485664614795e-12
0.00916305810954447,535.7389133597769,0.01887177199164488,3.0445160281722394e-12
0.011712464807915825,446.7602826961353,0.01748427719593466,3.4574385021635125e-12
0.013352751552784448,1814.2795529401858,0.012271805322924318,3.489818156676705e-12
0.007664824626543331,680.7434450065583,0.0120750360418085,4.144100340663926e-12
0.006074373206102732,564.8931841551255,0.02503835843397944,2.814774802128994e-12
0.02344649719705348,1286.0755458503352,0.011646184655166534,3.1915206588628562e-12
0.011155558218986571,474.7307696908923,0.013496876670509089,3.414014904112861e-12
0.00865641382409142,1130.3370275247319,0.03752527653466385,4.344603843353667e-12
0.010343484348308573,524.3663299600894,0.01541314565852154,4.844605272502633e-12
0.011413537008095723,323.94719445666215,0.008654827817119426,4.2307032876998106e-12
