Model,nseg_1_RMSE_TOTAL,nseg_1_VIOL,nseg_1_VIOL_NL,nseg_1_TRAIN_TIME_SEC,nseg_1_EXP_TIME_SEC,nseg_2_RMSE_TOTAL,nseg_2_VIOL,nseg_2_VIOL_NL,nseg_2_TRAIN_TIME_SEC,nseg_2_EXP_TIME_SEC,nseg_3_RMSE_TOTAL,nseg_3_VIOL,nseg_3_VIOL_NL,nseg_3_TRAIN_TIME_SEC,nseg_3_EXP_TIME_SEC,nseg_5_RMSE_TOTAL,nseg_5_VIOL,nseg_5_VIOL_NL,nseg_5_TRAIN_TIME_SEC,nseg_5_EXP_TIME_SEC,nseg_11_RMSE_TOTAL,nseg_11_VIOL,nseg_11_VIOL_NL,nseg_11_TRAIN_TIME_SEC,nseg_11_EXP_TIME_SEC,nseg_30_RMSE_TOTAL,nseg_30_VIOL,nseg_30_VIOL_NL,nseg_30_TRAIN_TIME_SEC,nseg_30_EXP_TIME_SEC,nseg_50_RMSE_TOTAL,nseg_50_VIOL,nseg_50_VIOL_NL,nseg_50_TRAIN_TIME_SEC,nseg_50_EXP_TIME_SEC,nseg_90_RMSE_TOTAL,nseg_90_VIOL,nseg_90_VIOL_NL,nseg_90_TRAIN_TIME_SEC,nseg_90_EXP_TIME_SEC
NN,0.0093124057437979,0.1905310029028734,0.0783278706644678,6.507286016539983,0.004108,0.0096464830991795,0.0885101592313277,0.0811821020581511,7.540172642959951,0.0041639999999999,0.0092532766563441,0.0724574611541719,0.0598970352772806,7.293838264000442,0.0044,0.0123656860745223,0.0815993556115775,0.0834938216981905,7.622748101999605,0.0042,0.01482411964742,0.1368871709838029,0.1363970703143012,8.641593497999565,0.0048,0.013794041042629,0.1285480888081853,0.1280859802612877,11.568167901999914,0.0055,0.0036628097289626,0.0163251836030864,0.0163575737657864,14.644758725000427,0.0062,0.0068428233679821,0.0591656042978658,0.0590565241967512,20.834424308999587,0.0076
KKThPINN,0.0172992941191677,6.061024698007194e-16,0.1823143946482309,7.034522505000241,0.004532,0.007572061628170056,6.455153871749124e-16,0.04463949023319127,9.437883170299902,0.0051080000000000006,0.0103393568131588,3.925431408496089e-16,0.0245729250159155,9.29606878499908,0.0053,0.0096193548391547,7.573307060835889e-16,0.0043902669585229,10.47845652199976,0.0062,0.0053108516942306,4.361590453884544e-16,0.0016423235069557,14.29694594600005,0.0109,0.0031833697611281,7.057846370831353e-16,0.0002082824973324,25.888929072998508,0.0126,0.0047501540055483,4.163336342344337e-16,9.135770601001854e-05,36.84031697799946,0.0245,0.0116287236204545,3.0134624954111393e-16,7.305538351603287e-05,60.067206814999736,0.0291
