0,1,2,3,4,5
0.35,1.0,1.0,0.009509200855087328,1.0430193198246954e-10,2.933853031592411e-08
0.3506677796327212,0.9995241664518427,0.9995241664518427,0.010218648109028327,1.1966387187091732e-10,3.153495280364717e-08
0.3513355592654424,0.9990157312611545,0.9990157312611545,0.01097670300288256,1.3720020340139223e-10,3.3882984616617607e-08
0.35200333889816365,0.9984727331791992,0.9984727331791992,0.011786289673747051,1.572047852918049e-10,3.639190931578382e-08
0.3526711185308848,0.9978931205159034,0.9978931205159034,0.012650467102844112,1.8000899507630165e-10,3.9071462533387104e-08
0.35333889816360603,0.9972747500256908,0.9972747500256905,0.013572430776692526,2.0598617183393612e-10,4.193184152265971e-08
0.3540066777963272,0.996615386186332,0.9966153861863318,0.014555513762313212,2.3555652971836316e-10,4.4983713376822094e-08
0.3546744574290484,0.9959127009266154,0.9959127009266154,0.015603187113259821,2.691925833764006e-10,4.823822170279188e-08
0.3553422370617696,0.9951642738617589,0.995164273861759,0.016719059518628534,3.074251285254761e-10,5.1706991522640784e-08
0.35601001669449084,0.9943675930982161,0.9943675930982161,0.017906876103129313,3.5084982302605664e-10,5.540213216573816e-08
0.35667779632721197,0.9935200566717743,0.9935200566717743,0.01917051628294103,4.001344156868723e-10,5.93362379057367e-08
0.3573455759599332,0.9926189746844812,0.9926189746844812,0.020513990579649456,4.5602667172565027e-10,6.352238609108982e-08
0.3580133555926544,0.991661572206788,0.991661572206788,0.021941436293273456,5.193630452182854e-10,6.797413251499909e-08
0.35868113522537565,0.9906449930112532,0.9906449930112532,0.02345711193547782,5.910781499447093e-10,7.270550377221267e-08
0.35934891485809684,0.9895663042030066,0.9895663042030066,0.0250653903257485,6.722150807145639e-10,7.773098635582483e-08
0.360016694490818,0.988422501809801,0.988422501809801,0.02677075025687018,7.639366374660418e-10,8.306551225843102e-08
0.36068447412353927,0.9872105173906902,0.9872105173906904,0.028577766641669163,8.675375041099444e-10,8.872444085897381e-08
0.3613522537562604,0.9859272257170419,0.9859272257170419,0.030491099060958822,9.844574331745298e-10,9.47235369001859e-08
0.36202003338898164,0.9845694535725384,0.9845694535725384,0.03251547864311708,1.1162954857369799e-09,1.0107894439222235e-07
0.36268781302170283,0.9831339897099807,0.9831339897099807,0.03465569321892175,1.2648253738487698e-09,1.0780715631642989e-07
0.3633555926544241,0.9816175959919414,0.9816175959919414,0.03691657071131886,1.4320119496359763e-09,1.1492498004937159e-07
0.3640233722871452,0.9800170197296151,0.9800170197296151,0.039302960738730214,1.620028881446615e-09,1.224494984818192e-07
0.3646911519198665,0.9783290072195464,0.9783290072195466,0.04181971443237756,1.8312775528163994e-09,1.3039802686982853e-07
