Model,30_RMSE3,30_VIOL,50_RMSE3,50_VIOL,90_RMSE3,90_VIOL,100_RMSE3,100_VIOL,150_RMSE3,150_VIOL,200_RMSE3,200_VIOL,400_RMSE3,400_VIOL,600_RMSE3,600_VIOL,800_RMSE3,800_VIOL
NN,0.0961016075902376,2746.35377132335,0.0874058851170268,23033.135917160704,0.1115878999010119,7556.982190794066,0.1119643151586163,9121.595351098962,0.0669340601237335,8552.793257285788,0.0561582730940686,8518.380313656078,0.0146427834964675,1319.3780315570502,0.015703695757468,1105.5603463912478,0.0152784591078713,1045.544329452869
KKThPINN,0.0855337731943979,3.9748796846576324e-13,0.0816275846325338,4.01464372856708e-12,0.1077649631303461,3.790822170057773e-12,0.1074383081565239,3.809150564415553e-12,0.0655743767749975,3.790919096492905e-12,0.0523356697329296,4.612263071468447e-12,0.0201136991211143,3.6004415837620484e-12,0.0151609231751342,2.909114060756224e-12,0.013991211798009284,3.0544207857419184e-12
