Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.0002,8e-05
2,1e-05,7e-05
3,6e-05,4e-05
4,0.00014,0.00012
5,0.0002,8e-05
6,0.0002,3e-05
7,0.00016,0.00014
8,0.00022,2e-05
9,5e-05,5e-05
10,0.01547,0.00022
11,0.00021,0.00014
12,5e-05,0.00997
13,4e-05,0.00013
14,0.00013,0.00012
15,0.00015,0.0001
16,0.00018,0.00012
17,0.00021,7e-05
18,1e-05,1e-05
19,0.00027,6e-05
20,0.0002,0.00013
21,0.00016,6e-05
22,0.00011,8e-05
23,2e-05,0.00012
24,2e-05,5e-05
25,0.00021,8e-05
26,0.00122,7e-05
27,2e-05,0.00012
28,0.00016,7e-05
29,5e-05,0.0001
30,0.00014,9e-05
31,5e-05,0.00013
32,0.00014,0.00011
33,0.0002,0.0001
34,0.00022,7e-05
35,0.00014,6e-05
36,1e-05,5e-05
37,6e-05,0.00014
38,0.00022,0.00013
39,4e-05,0.0001
40,0.0002,0.00011
41,0.01011,3e-05
42,0.00015,5e-05
43,0.00018,4e-05
44,0.0002,0.0001
45,5e-05,0.00013
46,0.0002,0.00013
47,0.00023,0.00013
48,0.00016,4e-05
49,7e-05,0.00012
50,0.00019,0.00013
