region_id,T_low,T_high,n_points,mean_abs_linearization_error,rmse_linearization_error,max_abs_linearization_error,mean_abs_nonlinear_residual,mean_abs_linearized_residual,mean_abs_y_PL_error_scaled,rmse_y_PL_error_scaled,max_abs_y_PL_error_scaled,mean_abs_y_PL_error_original,rmse_y_PL_error_original,max_abs_y_PL_error_original,mean_abs_f_PL,max_abs_f_PL,mean_abs_dCa,mean_abs_dCb,max_abs_dCa,max_abs_dCb,mean_abs_df_dCa,mean_abs_df_dCb,max_abs_df_dCa,max_abs_df_dCb,mean_amplification,max_amplification
0,280.0,302.5,22,0.007268316021596197,0.009954018551828071,0.025216150226109558,6.404308309996479e-17,0.007268316021596166,0.002499310456063403,0.00559444967493432,0.02450035943001938,0.0026278619172841185,0.005590558970891362,0.024345088439482354,0.007393427286531338,0.027368350792048687,0.007017240727297384,0.0008663450245549698,0.024345088439482354,0.0030056324218508124,1.035359282333193,0.03535928233319299,1.1102503718498151,0.1102503718498151,1.031929209900001,1.115712837589573
1,302.5,325.0,16,0.005404889201782287,0.00975655461332145,0.027735224045757352,8.4893030105615e-17,0.0054048892017822744,0.001652753981322456,0.0038688143863087527,0.017148010163459015,0.0021777151064093885,0.004815214331761985,0.017039334675190143,0.004435006411110454,0.021019362854743675,0.0033205326136844515,0.0032126127055437104,0.017039334675190143,0.01648554296558702,1.3366787589867952,0.3366787589867952,1.6726946475674587,0.6726946475674587,1.1952470402467688,1.6699023957991437
2,325.0,336.25,10,0.0067977563196519345,0.009204874302416646,0.020913383019434156,1.249000902703301e-16,0.006797756319652043,0.00098868722349403,0.0016412389747342254,0.004762118414744165,0.0014951164850331062,0.002645257909676492,0.009463876993101028,0.006819352361045475,0.017508280930030207,0.0014091790632349776,0.0030761703918643414,0.004335357154135688,0.009463876993101028,2.236959379083575,1.2369593790835751,2.670169019704201,1.670169019704201,2.053145492562018,2.6218166270559284
3,336.25,347.5,8,0.014390616398103668,0.018313378046243958,0.029717395655293327,3.7470027081099033e-16,0.014390616398103599,0.000988360482653323,0.0015685432059308268,0.003648787816589061,0.0015673379675049577,0.002724229138639093,0.007251327258728013,0.014247913446106222,0.04122353686323099,0.0011905665950927014,0.003511447307422172,0.002458583953710125,0.007251327258728013,3.866984391843158,2.866984391843158,5.140694791442289,4.140694791442289,3.9491405344808435,5.548393334346983
4,347.5,358.75,9,0.012424172668532577,0.015740170722609418,0.02675947545678381,7.401486830834377e-16,0.012424172668532331,0.000374555752369254,0.0006018435142760993,0.0015357049916643328,0.0006083468914040004,0.0010785679720448694,0.003051944927241701,0.011581939378746457,0.026590051531348635,0.000408051360945769,0.001416989313266232,0.0008788706233936461,0.003051944927241701,7.494840991463111,6.494840991463111,9.812340378182828,8.81234037818283,8.308444609936037,11.167430218944784
5,358.75,364.375,3,0.004771793655076066,0.006453492727548972,0.010730741236393532,2.6645352591003757e-15,0.004771793655073402,7.707458299759878e-05,0.0001332261752582495,0.00033756002324758505,0.00012630491713618483,0.00024128209205874246,0.0006708414742295776,0.004267465395368634,0.008897587104069515,8.060198626349176e-05,0.0002983127651450627,0.00018125659243756198,0.0006708414742295776,12.958911477607387,11.958911477607392,14.768009391176143,13.76800939117614,14.922517750417514,17.14134776407122
6,364.375,370.0,3,0.004363071054827391,0.005457251248607864,0.008001798201935861,2.960594732333751e-15,0.004363071054825023,4.6752885337477926e-05,7.498247440055639e-05,0.00016848587453421882,7.68854596242911e-05,0.00013633902181597982,0.0003348361911224007,0.004205614646114834,0.006832938922103793,4.808315511469393e-05,0.00018257322375817933,8.818368972374202e-05,0.0003348361911224007,19.577924663852638,18.57792466385263,22.331844653872817,21.331844653872817,22.94878428104043,26.31226927748429
7,370.0,375.625,4,0.006774121670404796,0.008378550627420826,0.013862240121080283,3.552713678800501e-15,0.00677412167040302,4.851367415559712e-05,7.710841484083263e-05,0.00019621886034060232,7.996603429285636e-05,0.0001405641580769531,0.0003899506472245795,0.006290299793123122,0.011352501599549925,4.933921003895392e-05,0.00019055889283961513,0.00010096541075327314,0.0003899506472245795,28.172371339755344,27.172371339755358,33.72525761214994,32.72525761214997,33.362414798935134,40.12820952660236
8,375.625,381.25,5,0.0034597043792335943,0.005172758986584629,0.010808140301490743,4.618527782440651e-15,0.0034597043792303967,1.670414063091504e-05,3.214171729291133e-05,0.00010353839711252366,2.7575870560521874e-05,5.86902275701828e-05,0.00020576444535735927,0.0037833534262173172,0.012886474224078626,1.68620573092082e-05,6.586555437235742e-05,5.2677183132732175e-05,0.00020576444535735927,42.88771774394238,41.887717743942396,50.66539388544039,49.66539388544043,51.21310056356052,60.67069343922968
9,381.25,386.875,3,0.004372722064904781,0.005637634185121334,0.009395791661789998,1.4210854715202004e-14,0.004372722064916623,1.4367772662498495e-05,2.3863041246481994e-05,6.141033027956544e-05,2.3742958317208975e-05,4.362126016954454e-05,0.0001220422848100533,0.004880704404738386,0.010963108408422073,1.4431426599292863e-05,5.679744835233406e-05,3.100921478582652e-05,0.0001220422848100533,65.51717304959003,64.51717304959006,72.43364519270813,71.43364519270801,78.66132056523126,87.0639540916433
