region_id,T_low,T_high,width,n_points,mean_abs_f_PL,max_abs_f_PL,rmse_f_PL,mean_abs_y_PL_scaled,max_abs_y_PL_scaled
0,280.0,302.5,22.5,22,0.007393427286505779,0.027368350792020216,0.01027807304012141,0.002499310456054652,0.024500359429993956
1,302.5,325.0,22.5,16,0.004435006411089131,0.021019362854728742,0.007587064825124998,0.001652753981316114,0.017148010163446914
2,325.0,336.25,11.25,10,0.006819352361071188,0.017508280930062403,0.0089544198539262,0.0009886872234976974,0.0047621184147498274
3,336.25,347.5,11.25,8,0.014247913446130675,0.0412235368632663,0.018846555452366125,0.0009883604826549791,0.0036487878165921694
4,347.5,358.75,11.25,9,0.011581939378766615,0.026590051531374392,0.0145171392232358,0.00037455575236988725,0.0015357049916658871
5,358.75,364.375,5.625,3,0.004267465395374259,0.008897587104069515,0.005512375088126229,7.707458299768512e-05,0.00033756002324758505
6,364.375,370.0,5.625,3,0.004205614646131413,0.006832938922118892,0.005148042876406048,4.675288533765679e-05,0.00016848587453455188
7,370.0,375.625,5.625,4,0.006290299793136667,0.011352501599561471,0.007596016543823057,4.8513674155698884e-05,0.00019621886034082436
8,375.625,381.25,5.625,5,0.003783353426215541,0.012886474224078626,0.006003881514682772,1.670414063091134e-05,0.00010353839711252366
9,381.25,386.875,5.625,3,0.004880704404738386,0.010963108408422073,0.006506299607937464,1.4367772662498495e-05,6.141033027956544e-05
10,386.875,392.5,5.625,6,0.003429354380617274,0.012760974340505271,0.005537855901150937,8.51861542312661e-06,6.858458457315031e-05
11,392.5,398.125,5.625,6,0.0037897910519504308,0.01079762022195041,0.005453669948265038,6.148485842556574e-06,3.9165438882049486e-05
12,398.125,403.75,5.625,6,0.00807874466863249,0.01792118636097939,0.010302139549575947,8.166009248019826e-06,3.3714154371145e-05
13,403.75,409.375,5.625,4,0.007313363418329999,0.02074642150147099,0.010954977804056888,5.264106257923951e-06,2.77647055689223e-05
14,409.375,415.0,5.625,5,0.005736623442732025,0.015893287225111408,0.007713783430943602,3.4801922875304923e-06,2.0037462230670933e-05
15,415.0,420.625,5.625,4,0.012181746452640141,0.03113127681663741,0.016480129819261245,5.32283294180554e-06,2.921909130632061e-05
16,420.625,426.25,5.625,4,0.016466173372357673,0.029505137373263324,0.01943563264386411,5.176022298838956e-06,1.9609317569446727e-05
17,426.25,429.0625,2.8125,4,0.007402770015787041,0.012774314802186382,0.008473725650047021,1.7025909381055786e-06,5.4377319552156855e-06
18,429.0625,431.875,2.8125,2,0.0018651246618617279,0.002142573512458057,0.0018856478645235034,3.646173630892739e-07,8.180157309856106e-07
19,431.875,437.5,5.625,6,0.014468634197138877,0.05234474663598121,0.023503228860256214,2.1560382831822513e-06,1.4504575691465238e-05
20,437.5,440.3125,2.8125,1,9.143397664956865e-05,9.143397664956865e-05,9.143397664956865e-05,1.1408713251892522e-08,2.2812689126627816e-08
21,440.3125,443.125,2.8125,3,0.008978937962600261,0.020222424876010336,0.012155638259553915,9.33737830894405e-07,4.1021069570046365e-06
22,443.125,445.9375,2.8125,2,0.0018114053077624703,0.0029131040740821845,0.0021201248455457594,1.6709943343832615e-07,5.335614031154456e-07
23,445.9375,448.75,2.8125,3,0.005507709444524759,0.014256839258109721,0.008295335242367521,4.3068859501005363e-07,2.209329998947851e-06
24,448.75,451.5625,2.8125,3,0.010978558723763854,0.020542248196534274,0.013737415628095587,7.932096235026739e-07,3.0758912152872853e-06
25,451.5625,454.375,2.8125,2,0.011379420845969435,0.022741130630265616,0.01608041255727773,7.408157260413439e-07,2.9607853401780737e-06
26,454.375,455.78125,1.40625,1,0.00011962036955992517,0.00011962036955992517,0.00011962036955992517,6.664140998295191e-09,1.3327057069023596e-08
27,455.78125,457.1875,1.40625,2,0.0028721254149104425,0.005653521773638204,0.0039981583389503885,1.4529158678019036e-07,5.717398104954086e-07
28,457.1875,458.59375,1.40625,0,,,,,
29,458.59375,460.0,1.40625,3,0.004925081140906211,0.011817043538940197,0.0069424235999484205,2.1749742414497084e-07,1.0351382230822104e-06
