Model,default_RMSE_TOTAL,default_VIOL,default_VIOL_NL,default_TRAIN_TIME_SEC,default_EXP_TIME_SEC
NN,0.0720354326867711,18.24986688375473,45.03910786504546,15.41506897638552,0.005744
KKThPINN,0.0658092687194923,2.0931140170432627e-05,1.9572701270878314,23.67324675060343,0.009186
