region_id,A_Cao,B_Ca,B_Cb,B_Cc,b
0,2.148741995664915,-8.38848908461532,-3.546566267186079,0.0,-5.412969174980709
1,2.148741995664915,-7.098021501090505,-4.387194337919326,0.0,-6.044912405339303
2,2.148741995664915,-6.198198893218337,-5.198198893218338,0.0,-6.53606039202483
3,2.148741995664915,-5.551633181516694,-5.970230640370505,0.0,-6.923743853661602
4,2.148741995664915,-5.0720037886624,-6.701660138331844,0.0,-7.235812438129742
