Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.04963,0.02097
2,0.03312,0.02032
3,0.03796,0.03025
4,0.04155,0.01258
5,0.04349,0.01387
6,0.05272,0.01157
7,0.02825,0.00633
8,0.02,0.02458
9,0.05355,0.00527
10,0.02674,0.01303
11,0.05405,0.02803
12,0.01962,0.03206
13,0.03093,0.02753
14,0.05581,0.01236
15,0.04633,0.02824
16,0.00639,0.02103
17,0.0558,0.00517
18,0.04758,0.01283
19,0.04155,0.01475
20,0.04854,0.01218
21,0.02163,0.03147
22,0.05283,0.02352
23,0.04617,0.01188
24,0.04386,0.01429
25,0.05752,0.03542
26,0.05107,0.00564
27,0.0372,0.02408
28,0.04923,0.00565
29,0.0263,0.01267
30,0.02149,0.02595
31,0.01892,0.0402
32,0.05264,0.00819
33,0.03055,0.02941
34,0.01833,0.01779
35,0.05731,0.01586
36,0.05173,0.03077
37,0.00584,0.00807
38,0.00321,0.02459
39,0.00772,0.00837
40,0.03441,0.01957
41,0.05527,0.00618
42,0.05306,0.02178
43,0.03879,0.02507
44,0.02767,0.0198
45,0.04489,0.01707
46,0.03718,0.01907
47,0.04768,0.01772
48,0.04885,0.01599
49,0.01304,0.00799
50,0.00847,0.02243
