kkt_csv_row,original_source_row_index_zero_based,intended_pl_split
0,68,train
1,39,train
2,73,train
3,141,train
4,15,train
5,23,train
6,38,val
7,85,train
8,98,val
9,80,train
10,75,train
11,126,val
12,3,val
13,63,val
14,89,val
15,111,train
16,7,train
17,0,train
18,26,train
19,100,val
20,9,train
21,42,train
22,50,val
23,53,train
24,69,train
25,76,train
26,10,train
27,22,train
28,131,train
29,109,train
30,46,val
31,34,train
32,101,train
33,145,train
34,147,val
35,120,val
36,134,val
37,118,train
38,146,train
39,122,train
40,60,train
41,79,val
42,24,train
43,33,train
44,43,train
45,82,train
46,18,train
47,136,val
48,49,train
49,59,val
50,27,train
51,32,train
52,4,train
53,17,val
54,83,val
55,127,train
56,19,train
57,84,train
58,6,val
59,11,train
60,35,train
61,62,train
62,77,train
63,16,train
64,2,val
65,61,val
66,135,val
67,112,val
68,95,train
69,110,train
70,45,train
71,64,train
72,117,train
73,81,train
74,139,val
75,44,train
76,86,train
77,115,val
78,78,train
79,25,train
80,30,train
81,137,train
82,12,train
83,65,train
84,31,train
85,94,train
86,47,train
87,93,train
88,36,train
89,55,train
90,114,train
91,138,train
92,56,train
93,104,train
94,66,train
95,142,train
96,148,train
97,119,val
98,51,train
99,108,train
100,70,train
101,97,train
102,67,train
103,54,val
104,133,train
105,128,train
106,8,val
107,13,val
108,125,val
109,40,train
110,28,train
111,96,train
112,113,train
113,132,train
114,29,train
115,5,train
116,123,train
117,105,train
118,72,val
119,143,train
