0,1,2,3,4,5
0.35,1.0,1.0,0.009509200855087328,1.0430193198246954e-10,2.933853031592411e-08
0.3505006257822278,0.9996462579513564,0.9996462579513562,0.010036614960262513,1.1562528605930027e-10,3.0971287949986125e-08
0.35100125156445555,0.9992744626476507,0.9992744626476509,0.0105909456884415,1.281317370184927e-10,3.268797871326691e-08
0.35150187734668337,0.9988838019153842,0.9988838019153842,0.011173403955208001,1.4193952259076438e-10,3.4492443572691987e-08
0.3520025031289111,0.9984734352229016,0.9984734352229017,0.011785242956930394,1.571780718056671e-10,3.638866467068555e-08
0.35250312891113894,0.9980424933635905,0.9980424933635905,0.012427758643099349,1.7398899120982706e-10,3.838076776348801e-08
0.3530037546933667,0.9975900782017331,0.9975900782017331,0.013102290095251068,1.925271294088219e-10,4.047302445061524e-08
0.3535043804755945,0.9971152624880539,0.9971152624880538,0.013810219801977532,2.1296172513911403e-10,4.2669854168419026e-08
0.3540050062578223,0.996617089752341,0.9966170897523408,0.014552973819025079,2.354776443023039e-10,4.497582591928687e-08
0.3545056320400501,0.9960945742808334,0.9960945742808334,0.015332021803006515,2.602767116144451e-10,4.739565970693573e-08
0.35500625782227785,0.9955467011863712,0.9955467011863712,0.016148876906812437,2.875791427363606e-10,4.993422764700395e-08
0.35550688360450566,0.9949724265795569,0.9949724265795569,0.01700509552441534,3.176250829542283e-10,5.259655472117224e-08
0.3560075093867334,0.9943706778494148,0.9943706778494148,0.017902276872420634,3.5067625867018703e-10,5.5387819142200696e-08
0.35650813516896124,0.9937403540622063,0.9937403540622063,0.01884206239544748,3.870177481377277e-10,5.831335229663666e-08
0.357008760951189,0.9930803264871964,0.9930803264871964,0.019826134982236204,4.2695987803271074e-10,6.13786382314269e-08
0.3575093867334168,0.9923894392582276,0.9923894392582276,0.020856217979269034,4.708402525847307e-10,6.458931265061711e-08
0.35801001251564457,0.9916665101799594,0.9916665101799594,0.021934073988702653,5.190259221021181e-10,6.795116138834915e-08
0.3585106382978724,0.9909103316875425,0.9909103316875425,0.023061503437533878,5.71915697802649e-10,7.147011832484641e-08
0.35901126408010015,0.9901196719683387,0.9901196719683387,0.02424034290516534,6.299426199084392e-10,7.51522627129262e-08
0.35951188986232796,0.9892932762540153,0.9892932762540152,0.025472463196947546,6.935765859728467e-10,7.900381588378687e-08
0.3600125156445557,0.9884298682909787,0.9884298682909788,0.026759767151826284,7.633271463765155e-10,8.303113730252417e-08
0.3605131414267835,0.9875281519966199,0.9875281519966199,0.0281041871729539,8.397464738546786e-10,8.724071994599431e-08
0.3610137672090113,0.9865868133082244,0.9865868133082243,0.02950768247104023,9.234325137960138e-10,9.163918497828525e-08
0.36151439299123905,0.9856045222306695,0.9856045222306695,0.030972236011328952,1.0150323218803496e-09,9.623327570243815e-08
0.36201501877346687,0.984579935088136,0.9845799350881362,0.03249985115639059,1.1152455953963551e-09,1.0102985077062258e-07
0.3625156445556946,0.9835116969840463,0.9835116969840465,0.03409254799846143,1.2248284042986141e-09,1.0603587663969242e-07
0.36301627033792244,0.982398444472271,0.982398444472271,0.035752359376789916,1.3445971277233474e-09,1.1125841926375026e-07
0.3635168961201502,0.98123880844133,0.98123880844133,0.037481326577417165,1.4754326012831318e-09,1.1670463502123362e-07
0.364017521902378,0.9800314172118549,0.9800314172118549,0.039281494714995466,1.6182844800023647e-09,1.2238176088012607e-07
0.3645181476846058,0.9787748998459646,0.9787748998459646,0.04115490779865065,1.7741758212373753e-09,1.282971038117733e-07
