region_id,iT,iC,T_low,T_high,C_low,C_high,Tss,Caoss,Cass,Cbss,fss,aCa,aCb,aT,aCao,b
0,0,0,280.0,316.0,0.8,0.9333333333333333,298.0,0.8666666666666667,0.8183905421979452,1.9034477510618903,-3.3985206142339575e-13,-1.0701458045193155,-0.06164661513090341,-0.005903403247502049,1.0094791935420822,-1.8774705161417145
1,0,1,280.0,316.0,0.9333333333333333,1.0666666666666667,298.0,1.0,0.9450342117372588,1.890068423474517,-4.1065241485060966e-15,-1.0692959510690239,-0.06929595106902386,-0.006721442876794192,1.0094791935420822,-2.1350061289651374
2,0,2,280.0,316.0,1.0666666666666667,1.2,298.0,1.1333333333333333,1.071848754609273,1.8770308425525457,3.3200742502459413e-13,-1.0684735722886518,-0.07685480608392893,-0.0075185874114972245,1.0094791935420822,-2.3859635384872537
3,1,0,316.0,352.0,0.8,0.9333333333333333,334.0,0.8666666666666667,0.5057707274725614,1.2782081216111227,-4.709010958947601e-13,-2.6802287664428412,-1.393903579757013,-0.038613437745959635,1.307791845025737,-14.900748737512655
4,1,1,316.0,352.0,0.9333333333333333,1.0666666666666667,334.0,1.0,0.6077816517097817,1.2155633034195634,-3.7692071686024065e-14,-2.5489993961053763,-1.5489993961053763,-0.04196472481327758,1.307791845025737,-16.14056812870586
5,1,2,316.0,352.0,1.0666666666666667,1.2,334.0,1.1333333333333333,0.7135930643947225,1.160519462123445,3.956834859764058e-13,-2.4391343491004207,-1.699096671375608,-0.04490938518258443,1.307791845025737,-17.229954669759977
6,2,0,352.0,388.0,0.8,0.9333333333333333,370.0,0.8666666666666667,0.3803017922899759,1.0272702512459522,-2.33946195749013e-12,-26.83518678908399,-20.446644380534625,-0.103544145549741,6.077101861982213,-64.25421138193727
7,2,1,352.0,388.0,0.9333333333333333,1.0666666666666667,370.0,1.0,0.47627655686936,0.9525531137387204,-3.3661962106634746e-13,-23.925377460206953,-22.925377460206946,-0.11149755930201233,6.077101861982213,-68.40973116166478
8,2,2,352.0,388.0,1.0666666666666667,1.2,370.0,1.1333333333333333,0.5782961321656822,0.8899255976653656,1.6626700016786344e-12,-21.655588250915123,-25.323689773038637,-0.11816406934542545,6.077101861982213,-71.8928662292031
9,3,0,388.0,424.0,0.8,0.9333333333333333,406.0,0.8666666666666667,0.3410754079589699,0.948817482583948,-2.049205249932129e-11,-288.9933430973951,-221.37009284300063,-0.6206489528203516,51.943450892053804,-515.5741540103036
10,3,1,388.0,424.0,0.9333333333333333,1.0666666666666667,406.0,1.0,0.4352892150037478,0.8705784300074995,-3.439026841078885e-12,-251.51113192283867,-250.51113192283782,-0.6668435814843381,51.943450892053804,-546.3647142987663
11,3,2,388.0,424.0,1.0666666666666667,1.2,406.0,1.1333333333333333,0.5364517153968401,0.8062367641276941,1.3713474800169934e-11,-223.1023961572721,-278.71403610564926,-0.7048327859167669,51.943450892053804,-571.6860324523955
12,4,0,424.0,460.0,0.8,0.9333333333333333,442.0,0.8666666666666667,0.3143811810862354,0.8954290288386363,-3.3423930290155113e-10,-2204.200000049163,-1651.6268856350848,-3.612023166550145,352.0953318958051,-3463.2386095455404
13,4,1,424.0,460.0,0.9333333333333333,1.0666666666666667,442.0,1.0,0.4073984310141132,0.8147968620283038,-2.2396307031158358e-11,-1885.6592527214152,-1884.6592527212697,-3.875695906529913,352.0953318958051,-3664.7913248862424
14,4,2,424.0,460.0,1.0666666666666667,1.2,442.0,1.1333333333333333,0.5080654205809905,0.7494641744959265,9.379164112033322e-11,-1649.5880902365634,-2110.2486747772264,-4.089338295342799,352.0953318958051,-3828.100598267501
