Cao,Ca,Cb,Cc,region_id,residual_nonlinear,residual_linearized,linearization_error,abs_linearization_error
0.5,0.1926536083226605,1.385307216645321,0.9220391750320184,0,2.220446049250313e-16,-0.7847764323558295,-0.7847764323558297,0.7847764323558297
0.50273850017,0.1941398738711545,1.3828027474023097,0.925795878896536,0,2.220446049250313e-16,-0.7750855422659979,-0.7750855422659981,0.7750855422659981
0.505555555556,0.1956732961895482,1.3802354812670965,0.929646778099355,0,6.661338147750939e-16,-0.7651917135880277,-0.7651917135880284,0.7651917135880284
0.516527635529,0.2016892725798394,1.3703232741016784,0.944515088847482,0,-4.440892098500626e-16,-0.7273781384575517,-0.7273781384575513,0.7273781384575513
0.516666666667,0.2017659451646646,1.3701985569953297,0.9447021645070058,0,8.881784197001252e-16,-0.7269063240188425,-0.7269063240188434,0.7269063240188434
0.527777777778,0.207928977931707,1.3603024003074142,0.9595463995388788,0,0.0,-0.6897889250894511,-0.6897889250894511,0.6897889250894511
0.528319671145,0.2082313378003147,1.359823333310629,0.960265000034056,0,8.881784197001252e-16,-0.6880083371250976,-0.6880083371250985,0.6880083371250985
0.533585575305,0.2111781518845458,1.355185153159092,0.9672222702613624,0,2.220446049250313e-16,-0.6708480245764932,-0.6708480245764934,0.6708480245764934
0.538888888889,0.2141616033598492,1.3505454289416985,0.9741818565874524,0,-2.220446049250313e-16,-0.6538263883028755,-0.6538263883028753,0.6538263883028753
0.540973523936,0.215338638765265,1.3487302296585304,0.9769046555122044,0,6.661338147750939e-16,-0.6472067780741433,-0.647206778074144,0.647206778074144
0.545454545455,0.2178769030987617,1.3448447152875231,0.9827329270687152,0,-2.220446049250313e-16,-0.6331132096324108,-0.6331132096324106,0.6331132096324106
0.55,0.2204630151958704,1.3409260303917407,0.9886109544123888,0,4.440892098500626e-16,-0.6190053342120936,-0.619005334212094,0.619005334212094
0.555555555556,0.2236392603147317,1.3361674095174636,0.9957488857238046,0,6.661338147750939e-16,-0.6020186198980698,-0.6020186198980705,0.6020186198980705
0.561111111111,0.2268323936324467,1.3314425650428934,1.0028361524356602,0,-2.220446049250313e-16,-0.5853121584452117,-0.5853121584452115,0.5853121584452115
0.571428571429,0.232806947388237,1.322756751918474,1.0158648721222892,0,2.220446049250313e-16,-0.5550234864778737,-0.5550234864778739,0.5550234864778739
0.572222222222,0.2332689068355067,1.3220933692270134,1.0168599461594805,0,0.0,-0.5527330570513099,-0.5527330570513099,0.5527330570513099
0.583333333333,0.2397717124272942,1.3128767581885885,1.030684862717117,0,4.440892098500626e-16,-0.5212540511112725,-0.521254051111273,0.521254051111273
0.594444444444,0.2463399589222532,1.3037910289565062,1.0443134565652403,0,8.881784197001252e-16,-0.49086101056571585,-0.49086101056571674,0.49086101056571674
0.6,0.2496483542712737,1.2992967085425475,1.0510549371861788,0,2.220446049250313e-16,-0.47606727602230803,-0.47606727602230825,0.47606727602230825
0.605555555556,0.2529727871138988,1.2948344631157978,1.0577483053263033,0,2.220446049250313e-16,-0.4615396772170197,-0.46153967721701994,0.46153967721701994
0.616666666667,0.2596693314070853,1.286005329480171,1.0709920057797435,0,4.440892098500626e-16,-0.4332756868879394,-0.4332756868879398,0.4332756868879398
0.6242832765,0.2642961368999743,1.2800257207999486,1.0799614188000772,0,-4.440892098500626e-16,-0.4145042229369279,-0.41450422293692746,0.41450422293692746
0.627777777778,0.26642872110305,1.2773018866501002,1.0840471700248495,0,6.661338147750939e-16,-0.40605459067113125,-0.4060545906711319,0.4060545906711319
0.636363636364,0.2716943762490681,1.2706614797701363,1.0940077803447954,0,1.1102230246251565e-15,-0.3857252179627243,-0.3857252179627254,0.3857252179627254
0.638888888889,0.2732500816240967,1.2687223854701934,1.09691642179471,0,-2.220446049250313e-16,-0.37986187530246474,-0.3798618753024645,0.3798618753024645
0.65,0.2801325356860265,1.2602650713720531,1.1096023929419203,0,2.220446049250313e-16,-0.3546829826044863,-0.3546829826044865,0.3546829826044865
0.661111111111,0.2870752044142509,1.2519281866065015,1.1221077200902474,0,4.440892098500626e-16,-0.3305033280078645,-0.33050332800786497,0.33050332800786497
0.666666666667,0.2905688444574135,1.247804355580827,1.1282934666287594,0,0.0,-0.31878365445079015,-0.31878365445079015,0.31878365445079015
0.672222222222,0.2940772084039989,1.2437099723639975,1.1344350414540032,0,1.1102230246251565e-15,-0.30730831814511084,-0.30730831814511195,0.30730831814511195
0.675655620603,0.2962527320567557,1.2411942229075112,1.138208665638733,0,6.661338147750939e-16,-0.3003377931123741,-0.30033779311237474,0.30033779311237474
0.683333333333,0.3011376687247259,1.2356086707834515,1.1465869938248223,0,4.440892098500626e-16,-0.28508336751832586,-0.2850833675183263,0.2850833675183263
0.694444444444,0.308255707869088,1.2276225268501757,1.158566209724736,0,4.440892098500626e-16,-0.26381391424705447,-0.2638139142470549,0.2638139142470549
0.705555555556,0.3154304506477333,1.2197497901834664,1.1703753147248004,0,-4.440892098500626e-16,-0.24348543490443852,-0.24348543490443808,0.24348543490443808
0.714285714286,0.321106959687691,1.2136424908033825,1.1795362637949265,0,2.220446049250313e-16,-0.22816375138317158,-0.2281637513831718,0.2281637513831718
0.716666666667,0.3226610250268341,1.2119887167196683,1.1820169249204977,0,6.661338147750939e-16,-0.22408345846590805,-0.2240834584659087,0.2240834584659087
0.727272727273,0.3296142219378665,1.204682989329733,1.1929755160054003,0,-4.440892098500626e-16,-0.20641444399900244,-0.206414443999002,0.206414443999002
0.727777777778,0.3299465629190581,1.204337570282116,1.1934936445768256,0,4.440892098500626e-16,-0.2055935793597502,-0.20559357935975064,0.20559357935975064
0.738888888889,0.3372862009162178,1.1967946240544358,1.2048080639183465,0,2.220446049250313e-16,-0.1880014696753317,-0.18800146967533193,0.18800146967533193
0.75,0.3446790809745763,1.1893581619491524,1.2159627570762714,0,2.220446049250313e-16,-0.1712928905228963,-0.17129289052289653,0.17129289052289653
0.761111111111,0.352124351050356,1.1820264798787117,1.2269602801819324,0,-2.220446049250313e-16,-0.15545370257960678,-0.15545370257960656,0.15545370257960656
0.769786713764,0.357973527496298,1.176373627464596,1.2354395588031055,0,4.440892098500626e-16,-0.14368177863229747,-0.14368177863229792,0.14368177863229792
0.772222222222,0.3596211656876166,1.1747978869312334,1.23780316960315,0,6.661338147750939e-16,-0.1404698758451267,-0.14046987584512738,0.14046987584512738
0.777777777778,0.363388639947784,1.1712217243395675,1.243167413490648,0,1.3322676295501878e-15,-0.13329437067633132,-0.13329437067633265,0.13329437067633265
0.783333333333,0.3671686865600974,1.167670706454195,1.248493940318708,0,-4.440892098500626e-16,-0.12632749863326542,-0.12632749863326498,0.12632749863326498
0.794444444444,0.3747660829686838,1.1606432770493678,1.2590350844259484,0,2.220446049250313e-16,-0.11301278582725965,-0.11301278582725988,0.11301278582725988
0.799711890537,0.3783849712831635,1.157346161492327,1.2639807577615094,0,-8.881784197001252e-16,-0.10698593030339631,-0.10698593030339543,0.10698593030339543
0.8,0.3785832271042075,1.1571664542084146,1.2642503186873777,0,8.881784197001252e-16,-0.10666153220713154,-0.10666153220713243,0.10666153220713243
0.805555555556,0.3824125322969048,1.1537139534818095,1.2694290697772854,0,1.1102230246251565e-15,-0.10051208642600251,-0.10051208642600362,0.10051208642600362
0.816666666667,0.3901072204220607,1.1468811075101213,1.279678338734818,0,1.3322676295501878e-15,-0.08881189041673815,-0.08881189041673948,0.08881189041673948
0.818181818182,0.3911601890478116,1.145956741731623,1.2810648874025652,0,6.661338147750939e-16,-0.08727769253066658,-0.08727769253066725,0.08727769253066725
0.827777777778,0.3978493420940849,1.1401431286321695,1.2897853070517458,0,-6.661338147750939e-16,-0.07789883498683814,-0.07789883498683747,0.07789883498683747
0.838888888889,0.4056381012701465,1.1334984247622926,1.2997523628565608,0,-2.220446049250313e-16,-0.0677597101265845,-0.06775971012658427,0.06775971012658427
0.85,0.4134727114170807,1.1269454228341615,1.309581865748758,0,-4.440892098500626e-16,-0.05838146363533636,-0.05838146363533592,0.05838146363533592
0.857142857143,0.4185330968738361,1.1227804794616725,1.3158292808074914,0,2.220446049250313e-16,-0.05274837803126703,-0.05274837803126725,0.05274837803126725
0.861111111111,0.4213523957792862,1.120482569336572,1.3192761459951416,0,8.881784197001252e-16,-0.04975120556716156,-0.04975120556716245,0.04975120556716245
0.872222222222,0.4292763876145172,1.1141083307850346,1.328837503822448,0,0.0,-0.04185621214374502,-0.04185621214374502,0.04185621214374502
0.883333333333,0.4372439303992897,1.1078211941325795,1.3382682088011306,0,2.220446049250313e-16,-0.03468392916298252,-0.03468392916298274,0.03468392916298274
0.883677554262,0.437491451353966,1.107627794183932,1.3385583087241022,0,-4.440892098500626e-16,-0.03447313990536893,-0.03447313990536849,0.03447313990536849
0.888888888889,0.4412437998227648,1.1047098218675295,1.3429352671987056,0,6.661338147750939e-16,-0.03136492799958396,-0.031364927999584624,0.031364927999584624
0.894444444444,0.4452542780055798,1.1016196671231595,1.3475704993152604,0,4.440892098500626e-16,-0.028221974931248728,-0.028221974931249172,0.028221974931249172
0.905555555556,0.4533066948511899,1.0955022785903796,1.3567465821144309,0,2.220446049250313e-16,-0.02245814274610536,-0.02245814274610558,0.02245814274610558
0.909090909091,0.4558775320863917,1.0935732459907834,1.3596401310138249,0,0.0,-0.02076864551759766,-0.02076864551759766,0.02076864551759766
0.916666666667,0.4614004560210278,1.0894675787080554,1.3657986319379167,0,0.0,-0.01738040295906093,-0.01738040295906093,0.01738040295906093
0.922687221198,0.4658030771508298,1.0862317119056597,1.3706524321415103,0,4.440892098500626e-16,-0.014911426784293608,-0.014911426784294052,0.014911426784294052
0.927777777778,0.469534847371735,1.08351413918747,1.3747287912187949,0,1.3322676295501878e-15,-0.012976904636565395,-0.012976904636566727,0.012976904636566727
0.938888888889,0.4777091656066778,1.077640553435356,1.3835391698469666,0,-2.220446049250313e-16,-0.009235976854634648,-0.009235976854634426,0.009235976854634426
0.95,0.485922718333616,1.071845436667232,1.3922318449991522,0,-8.881784197001252e-16,-0.0061461296432964024,-0.006146129643295514,0.006146129643295514
0.961111111111,0.4941748241021125,1.066127425982225,1.4008088610266622,0,-4.440892098500626e-16,-0.003696054607393237,-0.003696054607392793,0.003696054607392793
0.972222222222,0.5024648124227534,1.060485180401507,1.4092722293977398,0,-6.661338147750939e-16,-0.0018746252455228707,-0.0018746252455222046,0.0018746252455222046
0.983333333333,0.510792023769469,1.054917380872938,1.4176239286905932,0,-4.440892098500626e-16,-0.0006708969885567337,-0.0006708969885562896,0.0006708969885562896
0.994444444444,0.5191558095661931,1.0494227302443866,1.4258659046334203,0,2.220446049250313e-16,-7.41069782655493e-05,-7.410697826577134e-05,7.410697826577134e-05
1.0,0.5233512181912394,1.0467024363824786,1.4299463454262822,0,2.220446049250313e-16,-8.881784197001252e-16,-1.1102230246251565e-15,1.1102230246251565e-15
1.005555555556,0.527555532159799,1.043999953207598,1.434000070188603,0,-1.5543122344752192e-15,-7.367360563721899e-05,-7.367360563566468e-05,7.367360563566468e-05
1.016666666667,0.535990564775891,1.0386477962177825,1.4420283056733263,0,4.440892098500626e-16,-0.0006591958274646537,-0.0006591958274650978,0.0006591958274650978
1.027777777778,0.5444602914698764,1.033365027383753,1.4499524589243706,0,6.661338147750939e-16,-0.0018204522791009925,-0.0018204522791016586,0.0018204522791016586
1.038888888889,0.5529641070592035,1.0281504363404073,1.4577743454893892,0,-2.220446049250313e-16,-0.003547400200190662,-0.0035474002001904398,0.0035474002001904398
1.041461220249,0.5549376201261764,1.0269527997543528,1.4595708003684709,0,-4.440892098500626e-16,-0.0040267971115505174,-0.004026797111550073,0.004026797111550073
1.043624991465,0.5565990673608424,1.0259481517916846,1.4610777723124726,0,4.440892098500626e-16,-0.004453031514151731,-0.004453031514152175,0.004453031514152175
1.05,0.5615014170490721,1.023002834098144,1.4654957488527842,0,-1.5543122344752192e-15,-0.005830174189290299,-0.005830174189288745,0.005830174189288745
1.061111111111,0.5700716375479876,1.017921052873975,1.4731184206890375,0,-2.220446049250313e-16,-0.00865908480254765,-0.008659084802547429,0.008659084802547429
1.072222222222,0.5786741951747827,1.0129039459055655,1.480644081141652,0,-2.220446049250313e-16,-0.01202461701074714,-0.012024617010746919,0.012024617010746919
1.083333333333,0.5873085269579121,1.0079503872498243,1.4880744191252635,0,-6.661338147750939e-16,-0.015917428528149008,-0.015917428528148342,0.015917428528148342
1.090909090909,0.5932135052958193,1.0046088287736388,1.4930867568395418,0,4.440892098500626e-16,-0.018869224701583365,-0.01886922470158381,0.01886922470158381
1.094444444444,0.5959740802277882,1.0030592715675763,1.4954110926486357,0,-1.3322676295501878e-15,-0.020328348025850235,-0.020328348025848902,0.020328348025848902
1.105555555556,0.6046703125036598,0.9982295138953202,1.50265572915702,0,4.440892098500626e-16,-0.0252483732420391,-0.025248373242039546,0.025248373242039546
1.106635775767,0.6055173749838618,0.997763198433724,1.5033552023494143,0,-4.440892098500626e-16,-0.025753519921012158,-0.025753519921011714,0.025753519921011714
1.111111111111,0.6090297664987862,0.9958373107755724,1.5062440338366414,0,0.0,-0.027896533029962867,-0.027896533029962867,0.027896533029962867
1.115385111481,0.6123886699276271,0.9940071168932538,1.5089893246601194,0,-2.220446049250313e-16,-0.030018248647082246,-0.030018248647082024,0.030018248647082024
1.116666666667,0.6133966913710105,0.9934600494080212,1.5098099258879685,0,-1.1102230246251565e-15,-0.030668668997629656,-0.030668668997628545,0.030668668997628545
1.127777777778,0.6221526943618486,0.988749833167697,1.5168752502484544,0,6.661338147750939e-16,-0.036580565134481824,-0.03658056513448249,0.03658056513448249
1.136961687321,0.6294119823577673,0.9849005900735344,1.5226491148896986,0,-8.881784197001252e-16,-0.04183209264510157,-0.04183209264510068,0.04183209264510068
1.138888888889,0.6309378088228383,0.9840978398676764,1.5238532401984852,0,8.881784197001252e-16,-0.04297555437725342,-0.04297555437725431,0.04297555437725431
1.142857142857,0.634082308710379,0.9824503317067576,1.5263245024398635,0,6.661338147750939e-16,-0.045374961050770934,-0.0453749610507716,0.0453749610507716
1.147189511574,0.637519478143871,0.9806599331397416,1.5290101002903875,0,-4.440892098500626e-16,-0.048063230376840516,-0.04806323037684007,0.04806323037684007
1.15,0.6397515317835504,0.9795030635671012,1.5307454046493485,0,-8.881784197001252e-16,-0.04984529013453132,-0.04984529013453043,0.04984529013453043
1.161111111111,0.6485933698206636,0.9749645174193272,1.537553223871009,0,6.661338147750939e-16,-0.05718158424529879,-0.057181584245299455,0.057181584245299455
1.170624414694,0.6561857026820236,0.971122575976047,1.543316136035929,0,0.0,-0.0638275626989549,-0.0638275626989549,0.0638275626989549
1.172222222222,0.657462838919376,0.970481233394752,1.5442781499078722,0,-2.220446049250313e-16,-0.06497640467913662,-0.0649764046791364,0.0649764046791364
1.181818181818,0.6651447061856647,0.9666530487353292,1.550020426897006,0,6.661338147750939e-16,-0.0720712392346215,-0.07207123923462216,0.07207123923462216
1.183333333333,0.666359464332478,0.9660522619989558,1.550921607001566,0,1.1102230246251565e-15,-0.07322187319757495,-0.07322187319757606,0.07322187319757606
1.185541984481,0.6681311178478101,0.96517826673362,1.5522325998995696,0,4.440892098500626e-16,-0.07491391135904535,-0.07491391135904579,0.07491391135904579
1.194444444444,0.6752827804375009,0.9616766719870016,1.5574849920194975,0,-1.1102230246251565e-15,-0.08191026298354315,-0.08191026298354204,0.08191026298354204
1.2,0.6797543044524023,0.9595086089048044,1.5607370866427932,0,6.661338147750939e-16,-0.08641817953697256,-0.08641817953697323,0.08641817953697323
1.205555555556,0.6842323305931332,0.957353550074266,1.5639696748886007,0,-2.220446049250313e-16,-0.09103399624610187,-0.09103399624610164,0.09103399624610164
1.216666666667,0.6932076669904265,0.9530820006468528,1.570376999029721,0,-4.440892098500626e-16,-0.10058564180145563,-0.10058564180145518,0.10058564180145518
1.222222222222,0.6977048674695391,0.950965290495078,1.573552064257383,0,0.0,-0.10551964893517513,-0.10551964893517513,0.10551964893517513
