NN_Experiment_RMSE,NN_Experiment_VIOL,NN_Experiment_VIOL_NL,NN_Experiment_Time_sec,KKThPINN_Experiment_RMSE,KKThPINN_Experiment_VIOL,KKThPINN_Experiment_VIOL_NL,KKThPINN_Experiment_Time_sec
0.014057729839097857,0.1327153563081358,0.13288340434955892,0.0053,0.003631766526325085,9.43689570931383e-16,4.651858062532793e-05,0.0125
0.016632630764407925,0.16317094269796897,0.16256013836833244,0.0054,0.002627142799640372,6.899243081599187e-16,0.00013186067603359372,0.0125
0.01318806521600136,0.13175445524262056,0.13126750141693408,0.0053,0.0072338999158896005,6.502734858518775e-16,0.0002283723519165708,0.0125
0.012198841936775623,0.11476068048729432,0.11428400507183117,0.0054,0.009060897574213305,9.595498998545995e-16,0.00015630702718863563,0.0125
0.009614794407817156,0.09001027630660174,0.08967184079841184,0.0053,0.007138419126589481,6.225179102362485e-16,0.00020423001757643208,0.0127
0.0034752140661988905,0.014193597380734875,0.014134877513403475,0.0055,0.007661860690071847,5.590765945433824e-16,0.00042084129554469503,0.0126
0.008061669746053313,0.07597361435666644,0.07570691815624472,0.0054,0.004291354801808404,7.2957513046796e-16,0.00011133420899507683,0.0125
0.006262672845633331,0.04568160741273362,0.045363840388674255,0.0055,0.003906889600576425,7.057846370831352e-16,0.00019389584943204006,0.0127
0.016391264803955585,0.16821133557054485,0.16779773637822293,0.0054,0.006648151923005939,6.899243081599187e-16,0.00027370306612764815,0.0126
0.007917350915275902,0.08470383070146258,0.08442783917142091,0.0054,0.003465138342320476,6.463084036210732e-16,0.00014748952016171199,0.0173
0.008529428178704385,0.08807354123796687,0.08778877986717742,0.0062,0.005483441355223282,1.0388515444706822e-15,7.264818245429232e-05,0.0133
0.012887331102674692,0.13629717372938976,0.135649757951252,0.0057,0.007550164068216911,6.70098897005898e-16,0.00024885073457699434,0.0126
0.011342732442161036,0.11288798893448326,0.11255639078730478,0.0054,0.006488411322913407,7.890513639300219e-16,0.00019160805264007965,0.013
0.004872828414871771,0.028799706030534004,0.028702776207685847,0.0055,0.005319861060345676,7.176798837755476e-16,0.00020908922122426173,0.0132
0.0034157227901166196,0.021532411257715114,0.021421254748812978,0.0054,0.003709948613736745,7.414703771603724e-16,0.00014426583767762028,0.0124
0.007460154314660425,0.03253990070421617,0.03259882679618121,0.0069,0.004312539625989968,1.003165804393445e-15,3.978006777799569e-05,0.0129
0.008538594862193022,0.042981068815581475,0.04282424486662198,0.0053,0.004114802491202074,4.202987164652378e-16,0.00035060432157571486,0.0124
0.014016882992343802,0.1430047297083549,0.14226095243270415,0.0054,0.002768162527922288,4.361590453884544e-16,0.0004194356694992455,0.0128
0.011507905526116977,0.10931969084540553,0.10906686588829936,0.0056,0.004880349308444377,6.304480746978568e-16,0.0001550876547875468,0.0125
0.012318541804687272,0.08909470864977416,0.08884368314811203,0.0054,0.010013878305160307,8.287021862380633e-16,0.00017205334049147272,0.0124
0.004934738683287463,0.03315590897963193,0.0331136879759734,0.0053,0.003190617919126854,8.524926796228881e-16,0.00014831989418848508,0.0126
0.008718047256659306,0.08163931568137775,0.08149413869969771,0.0055,0.004236081190543891,5.590765945433824e-16,0.00018622344635033886,0.0124
0.0070659968304904565,0.061077984360018864,0.06099166094531741,0.0054,0.007022725679947573,1.003165804393445e-15,0.0001459882011345561,0.0129
0.01564377254949122,0.15709219100656885,0.156457985798085,0.0061,0.005815896960979748,8.049116928532385e-16,0.00017706748545900534,0.0127
0.006886853106579405,0.05624162874558673,0.056023645015561244,0.0054,0.003575552933092404,5.868321701590113e-16,0.00025866019406135213,0.0127
0.009821218765681107,0.07691797629159557,0.07669949980597643,0.0054,0.0080637702556888,7.771561172376096e-16,0.0001957594389777378,0.0127
0.0051746113031085365,0.03765431157574901,0.03749300274629115,0.0054,0.00470480664428927,7.097497193139393e-16,0.00011090879762105139,0.0127
0.00898778113147764,0.10563908712111732,0.10525593079648185,0.0053,0.0063560505226677964,5.670067590049907e-16,0.00016094579594823453,0.0125
0.009470236883750182,0.09529465985983626,0.09506358472544893,0.0053,0.010518737730801093,1.0309213800090738e-15,0.00013476307555079087,0.0128
0.004544221354456943,0.030557588005946903,0.030449897802933303,0.0055,0.005926724915110877,8.604228440844963e-16,0.00015943340851115595,0.0125
0.009251467545223647,0.07061327844766929,0.07028990445059877,0.0055,0.0034131179058988353,6.819941436983104e-16,0.00023414883533755756,0.0126
0.012056871189884613,0.11309393125125691,0.11275320550108157,0.0054,0.008619781256784453,4.758098676964956e-16,0.00046488345957276106,0.0128
0.0044245860141922215,0.033204033827856264,0.03330482836117774,0.0054,0.004017244057317974,7.89051363930022e-16,0.00017493272647487,0.0126
0.004344866547439137,0.016922882481729937,0.016938502555186863,0.0053,0.0022222609870835835,7.771561172376096e-16,0.000193872797187073,0.0126
0.016317517405368548,0.16757337606097553,0.16694978418877174,0.0053,0.008832361295441031,8.762831730077128e-16,0.00014566544541727268,0.0125
0.006533525118778142,0.048787306542127026,0.048590646776580454,0.0057,0.004846994209358446,5.392511833893618e-16,0.00030076320865634275,0.0125
0.011906732828335766,0.0795126327269761,0.07957351469957205,0.0053,0.012092391392507474,8.326672684688674e-16,0.0001559897425806916,0.0124
0.006110995667796532,0.04306305409651795,0.042987577207781194,0.0053,0.013991698154064298,8.683530085461046e-16,0.00021253325358995643,0.0128
0.005328181362376157,0.04318364692248505,0.0430392317528154,0.0054,0.005397879528427592,9.159339953157541e-16,8.780530930289611e-05,0.0125
0.007502690966859752,0.05841192149757536,0.058102529675797286,0.0054,0.011459866323050832,7.375052949295682e-16,0.00023639908677584666,0.0126
0.015596945484582897,0.15593951825151947,0.15570787472722586,0.0054,0.008491105824376979,6.819941436983104e-16,0.00018252720745354125,0.0131
0.01077727740776884,0.09613717724978488,0.09571673371932504,0.0053,0.005250625701207648,7.771561172376096e-16,0.00012171859141778858,0.0127
0.007117344419561845,0.0823565814670269,0.08213112107383974,0.0054,0.003412386085231598,5.74936923466599e-16,0.000244792656702904,0.0127
0.016187781177904977,0.14846990133518678,0.14835303503919695,0.0056,0.0064459740446000885,5.630416767741865e-16,0.00044700405052948324,0.0125
0.01472143371822595,0.12553852403079818,0.125613826355435,0.0053,0.012562948226145924,8.762831730077128e-16,0.0001586234616449669,0.0126
0.01493933041868534,0.15819898477203065,0.1579194046635676,0.0054,0.008445700894839672,6.819941436983104e-16,0.00028540361776430254,0.0129
0.006875427541863856,0.056106242565411024,0.055885553115524685,0.0053,0.005124828010676834,8.80248255238517e-16,0.00011957283025026173,0.0173
0.013643673588172757,0.13332380921896034,0.1329204249126351,0.0053,0.0027252440600063215,5.035654433121246e-16,0.00028351210351660965,0.0131
0.011402052791860684,0.09501678586376865,0.09479250079824438,0.0053,0.005089553392274446,7.454354593911765e-16,0.0001521141840280674,0.0173
0.011439332218797643,0.1375712103572163,0.13700577175220074,0.0063,0.004403668325132969,7.137148015447435e-16,0.00019391675985098604,0.0129
